# dSNR erf(%)  w(%)   m1     m2    spin1 spin2 effD(Mpc)
 0.00   0.0   21.7  2.269  1.305  0.08 -0.01    213
 0.35  27.6    9.3  1.838  1.587 -0.04  0.02    231
 0.40  31.4    2.6  1.885  1.552  0.03  0.04    232
 0.43  33.5    3.4  1.820  1.604  0.02  0.01    232
 0.47  36.0    5.3  1.791  1.627 -0.01 -0.04    233
 0.56  42.6    4.8  1.826  1.599  0.01 -0.02    235
 0.64  48.1    6.3  2.269  1.305  0.08 -0.01    225
 0.67  49.5   11.0  1.843  1.587  0.04  0.05    235
 0.96  66.3   12.0  1.945  1.501 -0.04 -0.02    237
 1.15  75.1    9.0  1.797  1.626  0.01  0.04    242
 1.58  88.5    4.0  2.095  1.405  0.06  0.04    226
 1.59  88.9    1.5  1.901  1.534 -0.05 -0.04    256
 1.69  90.8    1.5  2.225  1.327  0.02 -0.02    229
 1.78  92.5    1.2  1.947  1.501 -0.04 -0.02    257
 1.84  93.4    1.7  1.938  1.507 -0.02 -0.03    242
 1.95  94.8    1.9  1.900  1.537  0.01 -0.01    245
 2.30  97.9    0.8  3.077  1.006  0.18 -0.02    245
 2.31  97.9    0.4  2.590  1.161  0.09  0.02    235
 2.34  98.1    0.6  1.790  1.634  0.04  0.04    258
 2.67  99.2    0.4  2.263  1.312  0.17 -0.03    245
 2.69  99.3    0.1  1.973  1.484  0.02  0.05    257
 2.81  99.5    0.1  2.238  1.323  0.12 -0.03    236
 2.83  99.5    0.1  2.516  1.189  0.04  0.00    254
 2.86  99.6    0.2  2.107  1.398  0.10  0.03    249
 2.98  99.7    0.1  1.731  1.686  0.05  0.04    267
