 #dSNR erf(%)  w(%)   m1     m2    spin1 spin2 effD(Mpc)
 0.00   0.0   36.6 36.881  2.093  0.34  0.96    336
 0.51  38.9   25.2 21.172  2.966 -0.20  0.05    321
 1.01  68.6   11.0 39.295  2.031  0.43 -0.25    345
 1.06  70.9    7.5 13.357  4.111 -0.78 -0.88    324
 1.30  80.6    7.4 47.764  1.810  0.55  0.04    322
 1.61  89.2    4.3 40.439  2.003  0.47 -0.69    347
 1.75  92.0    2.5 17.257  3.497 -0.47  0.21    330
 1.95  94.8    1.7 20.429  3.082 -0.16 -0.36    340
 2.08  96.3    1.4 12.213  4.466 -0.86 -0.92    320
 2.22  97.3    1.4 10.378  5.230 -0.93 -0.99    384
 2.84  99.5    0.6 35.254  2.103  0.31 -0.54    361
 2.85  99.6    0.1 18.325  3.222 -0.54  0.83    347
 2.96  99.7    0.1 52.560  1.691  0.58 -0.00    335
