costheta_jn luminosity_distance_Mpc m1_detector_frame_Msun m2_detector_frame_Msun lambda1 lambda2 spin1 spin2 costilt1 costilt2
-9.935964420276823805e-01 4.772879694010858032e+01 1.911549665901087547e+00 1.010550286265274655e+00 3.653455071991118643e+02 9.924213278338740452e+01 8.410154138004634350e-02 1.294876089960948495e-01 6.830796811864738860e-01 7.671141019416317652e-01
-9.548122502419085222e-01 4.205175053134200169e+01 2.339390670190299115e+00 8.505910847152460263e-01 1.995261153161795775e+01 3.270621881505197507e+03 7.619750538852807509e-01 3.253751368109034647e-01 2.666371968317751140e-01 -3.969951864821741894e-01
-9.863226223968107886e-01 4.437826623659417891e+01 2.098758991280974318e+00 9.316446748835180980e-01 2.351818366091026391e+01 9.073128016878897597e+02 6.491650886017855671e-01 4.048635932120507597e-03 1.800022033867054727e-01 -1.520648072323035616e-01
-4.544668379830330562e-01 2.878901998350720248e+01 1.700899627952000337e+00 1.122543525868598069e+00 3.120210727934116903e+02 7.401240714630291677e+02 1.468632629874804807e-01 2.950223377768327881e-01 5.996909227463544934e-01 -1.940450180870775809e-01
-9.485369855088491287e-01 4.396657813719526331e+01 1.567364261054228880e+00 1.211268101114939988e+00 3.277646805664322187e+02 7.797629550444003144e+02 7.183281239983382860e-02 1.485210518801984292e-01 7.012756716515048394e-01 -3.360682726565298872e-01
-5.195000805139489142e-01 2.541173671957948343e+01 1.600449422997241022e+00 1.187981418452671578e+00 2.275250928861535158e+02 1.461162922681083501e+03 3.229163610242601762e-02 1.549266474294946627e-01 -6.842300401053174053e-01 5.730288688116776941e-01
-4.830721518872099773e-01 2.692546369421092223e+01 1.666022819917694076e+00 1.143805836649683938e+00 2.662286968736875110e+02 6.499552884084806692e+02 7.503309583597217447e-02 2.341650133261819200e-01 6.889137764412682774e-01 -1.603575369380278448e-01
-9.427720698979104030e-01 4.233709786587057522e+01 1.483852067538046882e+00 1.276773706836808353e+00 9.708959886884552759e+01 1.255468872011296980e+03 6.050401383782944009e-01 4.579386580775187121e-01 -3.430795135966901999e-02 4.450347388757701361e-02
-8.230076614935682988e-01 3.782932562774862362e+01 1.651446108999066853e+00 1.153650172273598118e+00 3.694618964043836513e+02 8.617227770527833854e+02 1.647867729159487871e-01 2.016579167089057045e-01 -1.762509307132624492e-01 5.857204861597011814e-01
-9.182925679850337808e-01 4.429816985177149746e+01 1.496842406732730391e+00 1.265978671196328786e+00 1.072579140795369597e+02 5.550988746808407086e+02 7.881693105846914512e-04 8.021015828640684076e-01 2.273940927099816212e-01 -1.337132701171252561e-02
-9.233225702283992531e-01 4.265042198769067738e+01 1.590246186152455721e+00 1.194887298433827016e+00 3.277757872955153289e+02 7.983496924737097800e+01 3.917325174517032049e-03 1.712938192039415164e-01 -3.421542638552773664e-03 1.567941607173983509e-01
-8.681953077169687338e-01 3.898371427901926012e+01 1.382898149712252112e+00 1.368513595890117118e+00 2.815394599913552156e+02 5.592071342327545835e+02 2.999048717690686594e-01 3.975279111723491465e-01 3.612091791439042687e-02 -3.496417104386222163e-02
-6.407771839791021051e-01 3.172363291730144041e+01 1.729974944050970187e+00 1.104984947916918925e+00 1.776750481353503233e+02 1.043983452803951650e+03 1.917653620921506707e-01 1.027117652692123295e-01 5.103610866150740666e-01 -7.875096528796332596e-01
-8.745702125100964786e-01 4.309083179883167958e+01 1.464589961042049193e+00 1.293228859463825930e+00 1.304165962127123976e+03 4.469186739802602233e+02 7.042854205591243810e-02 8.616123457227982396e-02 2.675990387360878131e-01 -5.179237401846859684e-02
