costheta_jn luminosity_distance_Mpc m1_detector_frame_Msun m2_detector_frame_Msun lambda1 lambda2 spin1 spin2 costilt1 costilt2
-9.283848360237629826e-01 4.659269849057433532e+01 1.415061648434578823e+00 1.337468108000168243e+00 3.179228278978952744e+02 6.889270431136760635e+02 1.926027661678120229e-02 1.447704992628663038e-04 -7.886413111110060492e-02 4.260465325065890818e-01
-9.506607326575512440e-01 4.495818118494246818e+01 1.384692965956163313e+00 1.366760558668969505e+00 9.298330797199902236e+02 4.239985771509511778e+02 1.474144984645242920e-02 3.631269723302977398e-02 3.109786100551054644e-01 8.928779557191787730e-02
-6.558286168276500350e-01 3.361412299606304543e+01 1.506041178585185936e+00 1.258328648653235016e+00 7.982631166114865096e+01 8.993758316487173943e+00 2.508818607757763719e-02 3.299792608110767994e-02 6.302559974296660650e-02 -2.372485260146003916e-01
-8.965471911156123186e-01 4.074338640342232054e+01 1.494205439763843346e+00 1.268191341073154010e+00 7.364648809533803160e+02 7.033341726615725520e+02 3.918399134973331310e-02 2.366959333667411486e-02 6.025660440750215535e-02 2.970331636673842479e-01
-8.983583990029997413e-01 4.293490125446467687e+01 1.385781448443404118e+00 1.365544246044666954e+00 5.677381761589939515e+02 6.198119895901216978e+02 1.097164689882142510e-02 7.950211486193393268e-03 2.404377828482531440e-02 -4.086623834687621581e-01
-9.802229359843526169e-01 4.527972027498717011e+01 1.490706151448979888e+00 1.270939194617126233e+00 9.686727151028184153e+02 5.466029514347723079e+02 3.935016910791124672e-02 4.036395938733434302e-02 -5.688704786590810247e-01 7.636306844029262519e-01
-8.383990409199668647e-01 3.765484245194870994e+01 1.528764293571385213e+00 1.240803949921862825e+00 3.627486487724366384e+02 1.618834029716706254e+03 2.706971889883642152e-02 4.467795843337853817e-02 4.127172632144895381e-01 3.153647797816973575e-01
-9.898628297453641034e-01 4.429173503641960963e+01 1.664309863983732818e+00 1.144926712574802163e+00 6.026557880930774047e+01 8.035221092786832742e+01 2.830448133876110536e-02 4.898692460339956062e-02 5.192021368669417214e-01 3.753061676231703725e-01
-9.223497005033738372e-01 4.214000495856739548e+01 1.507649905346946095e+00 1.257160119428482048e+00 2.228247462523665661e+02 5.545793899451840048e+01 3.746729744963836570e-03 4.797712748999295729e-02 7.972477754026996433e-02 -2.193292424299931806e-02
-6.263279175001081889e-01 3.286196250986448320e+01 1.402353357026060454e+00 1.349484444501439118e+00 4.137890640032612737e+02 8.876003881989227295e+01 1.846485470733882917e-02 1.415311668164397595e-02 -6.615760800873200509e-01 4.274416643788487291e-01
-8.698329248247939072e-01 4.022400396633006636e+01 1.563132649921376238e+00 1.214332687595655935e+00 6.773922433397119391e+01 2.220179726068663228e+02 8.563204557245348431e-03 1.941728699959420143e-02 4.702257518750820320e-01 1.569479385849688047e-01
-9.769714230290098556e-01 4.587484857962348173e+01 1.420635809048661491e+00 1.332313487232515969e+00 6.097692225252617391e+02 9.714847949056141019e+00 1.931942134703394306e-02 2.289092316098867777e-02 2.162584346621819822e-02 -2.000933467197615057e-01
-5.921136118147701799e-01 2.771780738089152152e+01 1.380265435936491203e+00 1.371009663460333483e+00 3.214100304247942290e+02 8.309487516035429735e+02 1.515232438994919099e-02 1.714564251101776543e-02 -4.822936259294154787e-02 -1.813271698321136383e-01
