dlambdat	costheta_jn	redshift	v1_end_time	v1_optimal_snr	f_ref	psdscaleflag	h1l1_relative_phase	phase	l1_optimal_snr	mtotal	logll1	signalmodelflag	logl	h1_cplx_snr_arg	m1_source	sky_frame	mc_source	deltalogl	h1_cplx_snr_amp	l1v1_delay	mf_source	l1h1_delay	loglv1	m1	ra	l1_end_time	m2	e_rad	logpost	v1h1_delay	m2_source	v1l1_delay	mtotal_source	psi	h1v1_relative_phase	loglh1	theta_jn	time	mf	af	optimal_snr	lambdat	alpha	cycle	distance	l1v1_relative_phase	lal_pnorder	h1l1_delay	mc	l1_cplx_snr_amp	h1v1_delay	logprior	v1_cplx_snr_arg	flow	l1_cplx_snr_arg	t0	q	v1_cplx_snr_amp	h1_end_time	eta	lal_approximant	h1_optimal_snr	azimuth	lal_amporder	dec	matched_filter_snr	
-4.244316046464967940e+02	8.486967600686344815e-01	2.451317785968771049e-02	8.943836789894152880e+08	1.563180566901006507e+01	1.000000000000000000e+02	0.000000000000000000e+00	-1.268162283371454535e-02	9.248374358872997192e-01	2.417229213845964964e+01	2.706824052898426203e+00	2.672209201866634771e+02	1.000000000000000000e+00	-4.900653235696029952e+00	2.725606208796239535e-02	1.407407066835409948e+00	1.000000000000000000e+00	1.147070265675070422e+00	5.619834589457074117e+02	1.871516281526638181e+01	9.830236434936523438e-03	2.515605516582879009e+00	3.912091255187988281e-03	1.200741669789508279e+02	1.441907086585727749e+00	6.520665623756434215e-01	8.943836789795850515e+08	1.264916966312698454e+00	1.264532791402341871e-01	5.766623755746946927e+02	-5.918145179748535156e-03	1.234651728887703248e+00	-9.830236434936523438e-03	2.642058795723113196e+00	1.385314890810903199e+00	2.907678753287434859e-02	1.746883717800931493e+02	5.572800783871694197e-01	8.943836789997296333e+08	2.577271002035686376e+00	6.845833260066359616e-01	3.476697800445641917e+01	4.287775763940377374e+02	1.169394815637458729e+00	5.000000000000000000e+02	1.102558995568273730e+02	4.175841036658889394e-02	7.000000000000000000e+00	-3.912091255187988281e-03	1.175188603115122632e+00	2.315945755901493897e+01	5.918145179748535156e-03	1.467891662898724014e+01	-1.820725444911889916e-03	3.000000000000000000e+01	3.993768492167704826e-02	8.943836789834971428e+08	8.772527564920136189e-01	1.549732947565809837e+01	8.943836789834971428e+08	2.489311469435349922e-01	5.000000000000000000e+00	1.949588940935045045e+01	2.950098357254526071e+00	0.000000000000000000e+00	5.778241279585891732e-01	3.354777739317391649e+01
-1.471205178191928553e+02	9.919971697331663174e-01	2.959619608964119894e-02	8.943836789897372723e+08	1.494857604797436323e+01	1.000000000000000000e+02	0.000000000000000000e+00	-1.888398956105508120e-02	2.464231432453854787e+00	2.304337987784618136e+01	2.700051798921792034e+00	2.684778023262521742e+02	1.000000000000000000e+00	-3.929272564583163430e+00	-1.772306021376121241e-02	1.311942008868438370e+00	1.000000000000000000e+00	1.141482065679190860e+00	5.629548396168203226e+02	1.870195887202793728e+01	9.937763214111328125e-03	2.495927394675001576e+00	3.904581069946289062e-03	1.196540894336442875e+02	1.350770501821146441e+00	6.470737671402160274e-01	8.943836789797995090e+08	1.349281297100645372e+00	1.265102261869093248e-01	5.780796953403485077e+02	-6.033182144165039062e-03	1.310495611993472309e+00	-9.937763214111328125e-03	2.622437620861910901e+00	3.036917883183830380e+00	-4.324846170144791557e-02	1.748229478569238609e+02	1.265980040971715348e-01	8.943836789999727011e+08	2.569797351273309882e+00	6.870252300953559876e-01	3.317944362285005155e+01	6.342330267693766928e+02	1.170203987467573592e+00	1.000000000000000000e+03	1.336199860588280899e+02	-2.436447214039283438e-02	7.000000000000000000e+00	-3.904581069946289062e-03	1.175265592727840813e+00	2.317267879493860150e+01	6.033182144165039062e-03	1.512485572352820640e+01	2.552540148768655398e-02	3.000000000000000000e+01	1.160929347293781621e-03	8.943836789837040901e+08	9.988975146270271388e-01	1.548371234703612664e+01	8.943836789837040901e+08	2.499999239490531822e-01	5.000000000000000000e+00	1.861231304983573764e+01	2.954823456630554457e+00	0.000000000000000000e+00	5.763846718360005061e-01	3.355669829288664374e+01
-2.409125050168194093e+02	9.760479334982046229e-01	2.977579292076818276e-02	8.943836789896271229e+08	1.464173271222095707e+01	1.000000000000000000e+02	0.000000000000000000e+00	-2.072364681717209223e-02	2.473613062343610558e+00	2.252619093047862009e+01	2.700534261381439372e+00	2.693480880968771203e+02	1.000000000000000000e+00	-2.210470467892387880e+00	7.653655672450323383e-03	1.334387363490252998e+00	1.000000000000000000e+00	1.141273387723807708e+00	5.646736417135110742e+02	1.875279896547451131e+01	9.883165359497070312e-03	2.496010795293182483e+00	3.900527954101562500e-03	1.196554323472558536e+02	1.374119805301628805e+00	6.491491463777665505e-01	8.943836789797439575e+08	1.326414456079810344e+00	1.264379745714441228e-01	5.798513290813673393e+02	-5.982637405395507812e-03	1.288061406374373385e+00	-9.883165359497070312e-03	2.622448769864626605e+00	3.007658437630744253e+00	-5.933048363751414200e-03	1.756701212693780860e+02	2.193093654412257287e-01	8.943836789999051094e+08	2.570331495861834181e+00	6.868472252909532116e-01	3.244989076206699252e+01	5.700326812012735900e+02	1.170659438924320783e+00	1.500000000000000000e+03	1.344486195727591848e+02	1.479059845342067803e-02	7.000000000000000000e+00	-3.900527954101562500e-03	1.175255707782655534e+00	2.322955545467726779e+01	5.982637405395507812e-03	1.517768736785625450e+01	1.358670403620190932e-02	3.000000000000000000e+01	2.837730248962256827e-02	8.943836789836444855e+08	9.652829767551842632e-01	1.549451451591882289e+01	8.943836789836444855e+08	2.499219855978899729e-01	5.000000000000000000e+00	1.819851081318419972e+01	2.952370724632959575e+00	0.000000000000000000e+00	5.778961478036181987e-01	3.362634885119835104e+01
-1.862906873061730266e+02	7.270475134911973392e-01	2.234494265895725293e-02	8.943836789893764257e+08	1.535052638493390020e+01	1.000000000000000000e+02	0.000000000000000000e+00	-5.179836149066208151e-02	5.889581102584981132e+00	2.300090200205579904e+01	2.708689341566310027e+00	2.671240845713826388e+02	1.000000000000000000e+00	-7.384782813975218296e+00	-4.135071505635416061e-03	1.421768355166469489e+00	1.000000000000000000e+00	1.149540315317675088e+00	5.594993293674282313e+02	1.864084000680213293e+01	9.868741035461425781e-03	2.522933472429198964e+00	3.852009773254394531e-03	1.186459728634748672e+02	1.453537687536984313e+00	6.469183597908436667e-01	8.943836789795076847e+08	1.255151654029325714e+00	1.265532404618903151e-01	5.739116101456462502e+02	-6.016731262207031250e-03	1.227718357724620013e+00	-9.868741035461425781e-03	2.649486712891089280e+00	2.608793034394387700e+00	-5.569194535900168219e-02	1.737292719325707822e+02	7.567844608833520503e-01	8.943836789996795654e+08	2.579308276202993522e+00	6.839611144741258864e-01	3.327751089782118044e+01	5.224099049632243350e+02	1.175913311085719837e+00	2.000000000000000000e+03	1.003416011321142918e+02	-3.893583868339600684e-03	7.000000000000000000e+00	-3.852009773254394531e-03	1.175226727747608280e+00	2.314036621843347419e+01	6.016731262207031250e-03	1.441228077821807396e+01	5.155687385336615858e-02	3.000000000000000000e+01	4.766328998502667585e-02	8.943836789833596945e+08	8.635150397484202545e-01	1.542487345806063281e+01	8.943836789833596945e+08	2.486589536155025815e-01	5.000000000000000000e+00	1.851249789606688978e+01	2.951465247821385418e+00	0.000000000000000000e+00	5.828781345238752687e-01	3.345189183658813192e+01
-2.104576024643151584e+02	9.676217224635468295e-01	2.832389285414852603e-02	8.943836789894849062e+08	1.525818098838763071e+01	1.000000000000000000e+02	0.000000000000000000e+00	-5.277447135167623316e-02	2.681331536546362138e+00	2.353535780030435021e+01	2.708060436832478768e+00	2.685502100256098856e+02	1.000000000000000000e+00	-3.482301512818903433e+00	-2.688542976689566391e-02	1.410258374464090414e+00	1.000000000000000000e+00	1.142811369635304164e+00	5.634018106685845169e+02	1.874313152110382319e+01	9.950280189514160156e-03	2.507607606682592305e+00	3.856658935546875000e-03	1.193816135218383891e+02	1.450202381559076992e+00	6.437305638270884867e-01	8.943836789795346260e+08	1.257858055273401776e+00	1.258626993667628646e-01	5.785341584029579280e+02	-6.093621253967285156e-03	1.223211931585264756e+00	-9.950280189514160156e-03	2.633470306049355170e+00	2.756559114574784530e+00	-8.119274898823425346e-02	1.754699871211363131e+02	2.551647605454142043e-01	8.943836789997251034e+08	2.578632815854517979e+00	6.841436626152865852e-01	3.391724588188054668e+01	4.269159068000624870e+02	1.175409519471320774e+00	2.500000000000000000e+03	1.277558483282804076e+02	-2.841827763655802030e-02	7.000000000000000000e+00	-3.856658935546875000e-03	1.175180236421357272e+00	2.318594898839912943e+01	6.093621253967285156e-03	1.513234773437345915e+01	5.430731922133845424e-02	3.000000000000000000e+01	2.588904158478054149e-02	8.943836789833912849e+08	8.673672525079633155e-01	1.547601168994571630e+01	8.943836789833912849e+08	2.487388055117933372e-01	5.000000000000000000e+00	1.906972507272200801e+01	2.955097383385800747e+00	0.000000000000000000e+00	5.807808904111101400e-01	3.356969486083342247e+01
3.771687134847638845e-01	6.530660393187552870e-01	2.071655427116565057e-02	8.943836789889932871e+08	1.536146838389235469e+01	1.000000000000000000e+02	0.000000000000000000e+00	2.879462976209579139e-02	5.750677739210841466e+00	2.288480234857589224e+01	2.717195227289902704e+00	2.684461284108328414e+02	1.000000000000000000e+00	-4.863412357201260861e+00	3.147027552766433478e-02	1.468553557090516160e+00	1.000000000000000000e+00	1.151284647746857015e+00	5.620206998242022109e+02	1.871219692373065513e+01	9.924769401550292969e-03	2.536142076627803554e+00	3.972887992858886719e-03	1.188160066535260029e+02	1.498976926556095046e+00	6.515899959720723444e-01	8.943836789790685177e+08	1.218218300733807880e+00	1.259047138546862676e-01	5.762639786149032943e+02	-5.951881408691406250e-03	1.193493233391974107e+00	-9.924769401550292969e-03	2.662046790482489822e+00	2.657570325794705202e+00	-5.881469851503062785e-02	1.747585647598433525e+02	8.591702817482642640e-01	8.943836789992175102e+08	2.588682201597650057e+00	6.809234476783205814e-01	3.301346423521953000e+01	2.704725002477713929e+02	1.162784407827891719e+00	3.000000000000000000e+03	9.291627407085459822e+01	-8.760932827712641924e-02	7.000000000000000000e+00	-3.972887992858886719e-03	1.175135298633464442e+00	2.317280734381528973e+01	5.951881408691406250e-03	1.424327879070107095e+01	9.028497404269503201e-02	3.000000000000000000e+01	2.675645765568615379e-03	8.943836789830414057e+08	8.126998349018412782e-01	1.547845438666748663e+01	8.943836789830414057e+08	2.473309018844593032e-01	5.000000000000000000e+00	1.817140422112198195e+01	2.954658530753372592e+00	0.000000000000000000e+00	5.700069435303907195e-01	3.353071650833677353e+01
-3.502947345613401922e+02	8.917851281018001064e-01	2.657367128035251561e-02	8.943836789894720316e+08	1.508387597139012648e+01	1.000000000000000000e+02	0.000000000000000000e+00	-6.795846815881256830e-02	2.409879533314882583e+00	2.326562572385936889e+01	2.701085219720287256e+00	2.687244868423044863e+02	1.000000000000000000e+00	-3.462016127846867519e+00	-5.848237484938378916e-02	1.349153389062679231e+00	1.000000000000000000e+00	1.144833790727642464e+00	5.634220960535566292e+02	1.874634787266573710e+01	9.816646575927734375e-03	2.504386661576593731e+00	3.831267356872558594e-03	1.195990430603131358e+02	1.385005347730404512e+00	6.479187707863298673e-01	8.943836789796553850e+08	1.316079871989882744e+00	1.267788312530320205e-01	5.782671439029160183e+02	-5.985379219055175781e-03	1.282012103766946520e+00	-9.816646575927734375e-03	2.631165492829625752e+00	3.058914605176051182e+00	-1.434143135529808433e-03	1.750985661509389786e+02	4.695209786384523243e-01	8.943836789998202324e+08	2.570937409480229974e+00	6.866535970976668235e-01	3.354567321845758698e+01	4.596217127755618321e+02	1.178139780456477270e+00	3.500000000000000000e+03	1.197063921456960713e+02	6.652432502328275987e-02	7.000000000000000000e+00	-3.831267356872558594e-03	1.175256227553078903e+00	2.318413357977711087e+01	5.985379219055175781e-03	1.484504784935941935e+01	-5.704823171385384889e-02	3.000000000000000000e+01	9.476093309428727102e-03	8.943836789834866524e+08	9.502345056981409410e-01	1.549608022304938615e+01	8.943836789834866524e+08	2.498372117777150347e-01	5.000000000000000000e+00	1.888119532859493788e+01	2.949060422910056989e+00	0.000000000000000000e+00	5.859101047211418001e-01	3.356850776432401773e+01
2.591926300540956163e+02	8.829565683837736767e-01	2.635690515620483718e-02	8.943836789894151688e+08	1.498109438639176183e+01	1.000000000000000000e+02	0.000000000000000000e+00	-2.977994105547399073e-02	2.371102962222317867e+00	2.329093607447479641e+01	2.702103180381905112e+00	2.677182813963214016e+02	1.000000000000000000e+00	-7.096572559208024877e+00	8.025892098544928910e-03	1.363271439596586587e+00	1.000000000000000000e+00	1.145081315045057613e+00	5.597875396221954816e+02	1.868671827440520516e+01	1.002967357635498047e-02	2.506004597432625935e+00	3.893852233886718750e-03	1.174929385018125174e+02	1.399203055632196824e+00	6.425538384434861250e-01	8.943836789793854952e+08	1.302900124749708066e+00	1.267084157571303216e-01	5.746279266743090375e+02	-6.135821342468261719e-03	1.269441573593169448e+00	-1.002967357635498047e-02	2.632713013189756257e+00	2.982775376519819943e+00	-1.213944394188413156e-01	1.745763197240615057e+02	4.886730718578810029e-01	8.943836789995841980e+08	2.572055122928170956e+00	6.863000757789478046e-01	3.348353061086181270e+01	3.718549503962138942e+02	1.171379930392805191e+00	4.000000000000000000e+03	1.187108690323627940e+02	-9.161449836336732488e-02	7.000000000000000000e+00	-3.893852233886718750e-03	1.175262114661842716e+00	2.315654114626913085e+01	6.135821342468261719e-03	1.484038705211358966e+01	1.294203315173862445e-01	3.000000000000000000e+01	3.780583315401893352e-02	8.943836789832793474e+08	9.311730127411873559e-01	1.546261034709867666e+01	8.943836789832793474e+08	2.496824477745416826e-01	5.000000000000000000e+00	1.882142210167100771e+01	2.958834374244479815e+00	0.000000000000000000e+00	5.755713078255801918e-01	3.346006022265211755e+01
-2.310427166076048593e+02	9.017966720130984326e-01	2.671771644137363455e-02	8.943836789895583391e+08	1.514009556298193715e+01	1.000000000000000000e+02	0.000000000000000000e+00	-2.190307533931390438e-02	3.450159635556403703e+00	2.325732826284210830e+01	2.704463662376638933e+00	2.695056777124759719e+02	1.000000000000000000e+00	-1.932627461174198036e+00	-5.683690055111633582e-02	1.386407387506617406e+00	1.000000000000000000e+00	1.144643695805159123e+00	5.649514847202292458e+02	1.876824805071862912e+01	9.875059127807617188e-03	2.507664245356365562e+00	3.897905349731445312e-03	1.198927707531863263e+02	1.423449026958244934e+00	6.493399070535452733e-01	8.943836789796832800e+08	1.281014635418393999e+00	1.264226307816733730e-01	5.798678537538550017e+02	-5.977153778076171875e-03	1.247679488631421529e+00	-9.875059127807617188e-03	2.634086876138038935e+00	2.047746891006159142e+00	3.659425281607120439e-03	1.755530362545669902e+02	4.468872611330953482e-01	8.943836789998432398e+08	2.574663307593968220e+00	6.854412849475450820e-01	3.352193020063304374e+01	5.306047271744562295e+02	1.170940663745765553e+00	4.500000000000000000e+03	1.203681076187958183e+02	2.556250062092146891e-02	7.000000000000000000e+00	-3.897905349731445312e-03	1.175225961496087379e+00	2.323082740341729746e+01	5.977153778076171875e-03	1.491636903362575062e+01	-6.049632583272360198e-02	3.000000000000000000e+01	-3.493382521180221634e-02	8.943836789835811853e+08	8.999371323859641780e-01	1.551732560018498752e+01	8.943836789835811853e+08	2.493065623196175640e-01	5.000000000000000000e+00	1.880409510703171350e+01	2.951998455917287600e+00	0.000000000000000000e+00	5.783098273527758071e-01	3.361415587241577185e+01
-3.856467466645668765e+02	6.769671725897601355e-01	1.950306391757199165e-02	8.943836789896951914e+08	1.572281103383125078e+01	1.000000000000000000e+02	0.000000000000000000e+00	6.464337467129910308e-02	5.109442908025231489e+00	2.462834547488178671e+01	2.704666998829425850e+00	2.678591757617892881e+02	1.000000000000000000e+00	-5.679827692956365581e+00	3.156555871553299447e-02	1.397665598583203606e+00	1.000000000000000000e+00	1.152755956632627532e+00	5.612042844884471151e+02	1.870586359084406425e+01	1.004850864410400391e-02	2.525625290184574823e+00	4.024744033813476562e-03	1.193305944024409513e+02	1.424924360087763242e+00	6.493660069489066711e-01	8.943836789796466827e+08	1.279742638741662386e+00	1.273015077363597314e-01	5.751623417056838434e+02	-6.023764610290527344e-03	1.255261199337730504e+00	-1.004850864410400391e-02	2.652926797920934554e+00	3.752025524087284625e-01	1.167550135145534185e-02	1.740145143242168615e+02	8.271621577366582434e-01	8.943836789998089075e+08	2.574882721650880946e+00	6.853798162658875093e-01	3.537137679646291843e+01	5.528172260556314086e+02	1.157133903968181388e+00	5.000000000000000000e+03	8.739431282424588687e+01	-5.296787331984376124e-02	7.000000000000000000e+00	-4.024744033813476562e-03	1.175238229736195406e+00	2.320291761635352401e+01	6.023764610290527344e-03	1.395805721723670700e+01	1.989005736407746527e-02	3.000000000000000000e+01	-3.307781595576626821e-02	8.943836789836715460e+08	8.981126820393758869e-01	1.545410991040893300e+01	8.943836789836714268e+08	2.492796620637020566e-01	5.000000000000000000e+00	1.993419446182011256e+01	2.960515906507918071e+00	0.000000000000000000e+00	5.624411169345738815e-01	3.355174551321952237e+01
