# rho_c radius mass mb
1.451201892304444375e+14 2.411012718168927904e+01 9.846928240404960453e-02 9.835438421827828737e-02
1.579292343509890000e+14 1.925670642752157846e+01 1.218039688947717969e-01 1.218849358514608600e-01
1.718688708645726875e+14 1.683549144107573881e+01 1.495408742569629967e-01 1.499567300317502794e-01
1.870388905110156562e+14 1.546592952434378354e+01 1.820987180199661326e-01 1.830448307919886886e-01
2.035478931560424375e+14 1.464123507825139647e+01 2.198688860262644484e-01 2.216114286332089012e-01
2.215140642412201875e+14 1.413527793117189013e+01 2.626939536570577216e-01 2.655710983767238242e-01
2.410660208555777188e+14 1.382675265951477961e+01 3.095298927986533943e-01 3.139298014884686627e-01
2.623437324858037500e+14 1.363403939369989004e+01 3.609998182249078424e-01 3.674175780495118615e-01
2.854995230365355625e+14 1.351443672163694565e+01 4.173389973988756996e-01 4.263855022835542630e-01
3.106991612940479375e+14 1.344176674964443663e+01 4.786518481455853680e-01 4.910670361718518229e-01
3.381230476398074375e+14 1.339870591960381319e+01 5.449264266059993256e-01 5.615908221822372148e-01
3.679675055093933125e+14 1.337331828338715134e+01 6.160258393739207472e-01 6.379684742697775413e-01
4.004461868421438750e+14 1.335682889574104770e+01 6.916723289780063455e-01 7.200725186713278214e-01
4.357916015829273750e+14 1.334268771760775962e+01 7.714332859896539940e-01 8.076141559415831450e-01
4.742567821855106250e+14 1.332585731199992196e+01 8.547245803598059188e-01 9.001370754623478909e-01
5.161170950334495000e+14 1.330246089141467536e+01 9.408022351774691927e-01 9.969966129162385338e-01
5.616722117461896875e+14 1.326952851564973201e+01 1.028781713707947354e+00 1.097367041064117643e+00
6.112482544826588750e+14 1.322477823450534729e+01 1.117659057726860139e+00 1.200250505048310101e+00
6.652001306002512500e+14 1.317728234065048909e+01 1.188968485511759043e+00 1.283939695371484779e+00
7.239140733826745000e+14 1.311852684650352252e+01 1.251328845236099330e+00 1.357989931206038392e+00
7.878104070253445000e+14 1.304278400217689615e+01 1.309611647478458707e+00 1.427957475725782466e+00
8.573465556724360000e+14 1.294900582420400248e+01 1.364376220485042923e+00 1.494404695562601360e+00
9.330203180468298750e+14 1.283758787797543555e+01 1.415722436425267183e+00 1.557360738712884718e+00
1.015373431115535125e+15 1.271800368648278834e+01 1.460419583407446265e+00 1.612716073834118413e+00
1.104995448302325375e+15 1.258805932373202197e+01 1.499961216146026510e+00 1.662145400055587752e+00
1.202527960011120250e+15 1.244634221471508084e+01 1.535119415824539812e+00 1.706485002202783541e+00
1.308669186674208750e+15 1.229319576505535849e+01 1.566148320257909843e+00 1.745947420717817611e+00
1.424178977206232500e+15 1.212949396239946154e+01 1.593207842714182254e+00 1.780636957855076474e+00
1.549884248647117750e+15 1.195643016358543242e+01 1.616420298581294990e+00 1.810617246403517733e+00
1.686684905935521250e+15 1.177536708337155247e+01 1.635900549349652788e+00 1.835948227931926358e+00
1.835560284191554750e+15 1.158867146683980565e+01 1.651694622948010727e+00 1.856605084529478589e+00
1.997576159628111250e+15 1.139943042301856835e+01 1.663809741700051692e+00 1.872513036215687654e+00
2.173892379280840500e+15 1.121305257022892654e+01 1.672226961737679929e+00 1.883567794348485869e+00
2.365771164176847500e+15 1.102855385195934979e+01 1.677224225541947167e+00 1.890063126142655925e+00
2.574586145383248000e+15 1.084436247621467508e+01 1.679038590513291629e+00 1.892252484754876951e+00
2.801832197623266500e+15 1.066039140966820398e+01 1.677873410154758327e+00 1.890355315894935107e+00
3.049136140857251500e+15 1.047669788717577255e+01 1.673930970855753708e+00 1.884601039906473874e+00
3.318268386439592000e+15 1.029289342267937180e+01 1.667401567856047206e+00 1.875220870637958059e+00
3.611155611224609000e+15 1.010935591969626657e+01 1.658494359374363070e+00 1.862494859201859088e+00
3.929894550353417500e+15 9.926540573407921286e+00 1.647420368354779230e+00 1.846718878404451036e+00
4.276767007462223000e+15 9.744911954290722989e+00 1.634390696017030020e+00 1.828196889689401639e+00
4.654256189767862000e+15 9.564950088529842631e+00 1.619604943486250503e+00 1.807221995474934229e+00
5.065064484970963000e+15 9.387114687389257028e+00 1.603261147474539516e+00 1.784088692225355599e+00
5.512132807238905000e+15 9.211825375517394221e+00 1.585540716136215611e+00 1.759069433397544735e+00
5.998661650763491000e+15 9.039526490683858384e+00 1.566625631686070275e+00 1.732437741081867877e+00
6.528134001612593000e+15 8.870583244669210998e+00 1.546680499285039145e+00 1.704442541268038180e+00
7.104340271898207000e+15 8.705372848924948670e+00 1.525865881859766127e+00 1.675325690437512671e+00
7.731405434760849000e+15 8.544227801164991476e+00 1.504330004975629409e+00 1.645309977408568658e+00
8.413818554425526000e+15 8.387485585667345589e+00 1.482221245632326712e+00 1.614616884895526461e+00
9.156464922730438000e+15 8.235399350862909529e+00 1.459665560714594967e+00 1.583433246602577116e+00
