# rho_c radius mass mb
2.521899851129325312e+14 2.738951537940191017e+01 1.266321103279510474e-01 1.261729357826086584e-01
2.713717096415550000e+14 2.279104062205703940e+01 1.395861317686387659e-01 1.392296563276991805e-01
2.920124078710053750e+14 1.962572968536330720e+01 1.554522416683047081e-01 1.552614258171078621e-01
3.142230502334016250e+14 1.737660426815455139e+01 1.747011752619145319e-01 1.747694300405074619e-01
3.381230476398074375e+14 1.574465133752101309e+01 1.978547640826805731e-01 1.983180362526670848e-01
3.638408934682240000e+14 1.454544262413772238e+01 2.254728758178572157e-01 2.265253116101904607e-01
3.915148543815808750e+14 1.365717411138619397e+01 2.581441998928596382e-01 2.600581150481423576e-01
4.212937136897656250e+14 1.299822529249577663e+01 2.964645084396098085e-01 2.996149522754260053e-01
4.533375712522244375e+14 1.251347273081045053e+01 3.406790815924645721e-01 3.455588908739816167e-01
4.878187042216438125e+14 1.215271479064122850e+01 3.922054307734497702e-01 3.995103319203966996e-01
5.249224932563230000e+14 1.186951373211018179e+01 4.574146341875394151e-01 4.684256777557567752e-01
5.648484191808260000e+14 1.162388030212063050e+01 5.773660491875550749e-01 5.974997299234934278e-01
6.078111354532530000e+14 1.155322265069205123e+01 7.084012295566566308e-01 7.415682554341586075e-01
6.540416222050270000e+14 1.156359283847648101e+01 8.404917496264295851e-01 8.899714776160859708e-01
7.037884280576550000e+14 1.160080774770164780e+01 9.687310726417533990e-01 1.037179006081536903e+00
7.573190063928287500e+14 1.163927846733248650e+01 1.091889327089274664e+00 1.181592361253542167e+00
8.149211532600493750e+14 1.166750098971349203e+01 1.209488996416639983e+00 1.322431184359662337e+00
8.769045546523833750e+14 1.168021420285866974e+01 1.321463069682884406e+00 1.459394446446445226e+00
9.436024514689598750e+14 1.167500007829643849e+01 1.427509588102813032e+00 1.591885931303571144e+00
1.015373431115535500e+15 1.165117132471336525e+01 1.526731038573127419e+00 1.718518090838218937e+00
1.092603355375289875e+15 1.160959281465174087e+01 1.617303001542293783e+00 1.836583169465126453e+00
1.175707434914659000e+15 1.155302729526849603e+01 1.696741032735234356e+00 1.942283497797161251e+00
1.265132461577344250e+15 1.148588911645757626e+01 1.762989500560610656e+00 2.032149991216792184e+00
1.361359210467977750e+15 1.141297356513993932e+01 1.815579888966069255e+00 2.104738084206922100e+00
1.464905024739730250e+15 1.133805667770036152e+01 1.855698323532480876e+00 2.160960884376071700e+00
1.576326596982455000e+15 1.126338535612313585e+01 1.885387781830621057e+00 2.203119669067534314e+00
1.696222962164911250e+15 1.119009728276504312e+01 1.906743823507439428e+00 2.233795636550369057e+00
1.825238718222001500e+15 1.111857338149048324e+01 1.921490042543877674e+00 2.255205362433450933e+00
1.964067491601849000e+15 1.104895371301047646e+01 1.931076441624873130e+00 2.269272998285551957e+00
2.113455666404501250e+15 1.098146108287678224e+01 1.936550357403874711e+00 2.277413543573606258e+00
2.274206397161210000e+15 1.091656711772518307e+01 1.938674812504498357e+00 2.280680111113153608e+00
2.447183926828148500e+15 1.085452278679655969e+01 1.938192668170040545e+00 2.280116736896613983e+00
2.633318233209386500e+15 1.079527732919821403e+01 1.935594764251693078e+00 2.276428101929190539e+00
2.833610028789618000e+15 1.073902183135747990e+01 1.931366086812686733e+00 2.270312012827838899e+00
3.049136140857251500e+15 1.068639564408229070e+01 1.925940834393035983e+00 2.262407045312566645e+00
3.281055300842924500e+15 1.060809627845832459e+01 1.915611551149470460e+00 2.247288722218360846e+00
3.530614373998672500e+15 1.052031381028636403e+01 1.902168411617518817e+00 2.227556025396260519e+00
3.799155062910289000e+15 1.043060845864572350e+01 1.887030680088691792e+00 2.205301215057351882e+00
4.088121120882945000e+15 1.033989814158418596e+01 1.870571706194295247e+00 2.181083097357293443e+00
4.399066113981318500e+15 1.024900146212707774e+01 1.853117363859140720e+00 2.155387673068675181e+00
4.733661773455268000e+15 1.015845720912359695e+01 1.834874030939262157e+00 2.128531062720482758e+00
5.093706983456090000e+15 1.006871518616012828e+01 1.816020985983699099e+00 2.100783204134644588e+00
5.481137452363970000e+15 9.980135222145474216e+00 1.796702454859934406e+00 2.072369673855656291e+00
5.898036119722548000e+15 9.893034861589635298e+00 1.777045575637841379e+00 2.043481115480698218e+00
6.346644354731248000e+15 9.807637385282342635e+00 1.757152461558858292e+00 2.014279316429150590e+00
6.829374006501822000e+15 9.724200650142973856e+00 1.737116083133863453e+00 1.984905162992364636e+00
7.348820370864745000e+15 9.642865347303402501e+00 1.717021360337016578e+00 1.955489290609968789e+00
7.907776143438870000e+15 9.563847761706020023e+00 1.696936860620591458e+00 1.926137446364203143e+00
8.509246433980075000e+15 9.487395178119859551e+00 1.676938101482609023e+00 1.896963981081705830e+00
9.156464922730438000e+15 9.413592288487739879e+00 1.657080430145962291e+00 1.868052585974344426e+00
