# rho_c radius mass mb
2.895528447126584375e+14 1.757548521042415501e+01 1.724415903309401976e-01 1.738789771449849031e-01
3.106991612940479375e+14 1.586128669212763498e+01 1.973491579538814433e-01 1.994784028191027569e-01
3.333898132640401250e+14 1.461956134503205007e+01 2.280798608690987328e-01 2.311882742979949612e-01
3.577375848885525625e+14 1.372472017771113961e+01 2.655984853827143000e-01 2.700979009237170492e-01
3.838634971745191875e+14 1.308785437295194320e+01 3.109020099776648727e-01 3.173758377703652656e-01
4.118974094068338750e+14 1.264845117986499012e+01 3.642937231206115900e-01 3.735185098759858935e-01
4.419786646161020625e+14 1.235199317008637188e+01 4.267797715739468090e-01 4.398117536723363807e-01
4.742567821855105625e+14 1.215860306908931676e+01 5.006747419142423272e-01 5.190223673125797799e-01
5.088922010394268750e+14 1.204620653102374739e+01 5.860213962733977766e-01 6.116164825006387140e-01
5.460570771077618750e+14 1.199343862292561091e+01 6.835090333296881537e-01 7.188663557170279494e-01
5.859361390299055000e+14 1.198281311144921801e+01 7.929259855833717952e-01 8.411661237509844291e-01
6.287276063515242500e+14 1.199940977843446710e+01 9.133645557407588100e-01 9.782075982439634165e-01
6.746441747781347500e+14 1.203012920970270017e+01 1.042524976124848513e+00 1.128125818296825678e+00
7.239140733826745000e+14 1.206421231565677843e+01 1.178147969682401763e+00 1.289003863992140175e+00
7.767821990219321250e+14 1.209294827680075457e+01 1.317400716100529223e+00 1.458108713984563654e+00
8.335113336004797500e+14 1.210967143913288524e+01 1.456162184246763136e+00 1.630881041711163659e+00
8.943834502325333750e+14 1.211003195171559987e+01 1.590955932861959576e+00 1.803145761896198795e+00
9.597011147940438750e+14 1.209167613169412192e+01 1.719023992503935006e+00 1.971269137954328121e+00
1.029788989831453250e+15 1.205385137471180457e+01 1.837424173374902159e+00 2.130988610716992859e+00
1.104995448302324750e+15 1.199707337633882709e+01 1.944686023504548444e+00 2.279669452542859354e+00
1.185694305168965250e+15 1.192341037739755727e+01 2.039009650431466536e+00 2.413966865478855084e+00
1.272286675451961750e+15 1.183472189290189469e+01 2.120499914926936569e+00 2.533044437679061289e+00
1.365202967979115000e+15 1.173342025342543238e+01 2.189317634012478919e+00 2.636144328391970326e+00
1.464905024739729750e+15 1.162243375962206215e+01 2.245850956527939424e+00 2.722874064162022378e+00
1.571888416477964000e+15 1.150429112985661284e+01 2.291064366721098811e+00 2.793804539937652986e+00
1.686684905935520250e+15 1.138033808211851472e+01 2.326297791170720775e+00 2.850251144883791721e+00
1.809865090987262750e+15 1.125472435497247048e+01 2.352160001696897762e+00 2.892500821397034905e+00
1.942041240807519750e+15 1.112723882682841747e+01 2.370312702204642186e+00 2.922707686506076818e+00
2.083870339164276250e+15 1.099891259291967671e+01 2.381791107181291611e+00 2.942162663455981431e+00
2.236057349968003500e+15 1.087208013883443236e+01 2.387464890882333712e+00 2.951994477552150276e+00
2.399358721306591000e+15 1.074730874442662909e+01 2.388303375257430528e+00 2.953610653334964198e+00
2.574586145383246500e+15 1.062464456975249938e+01 2.385075957074975772e+00 2.948153886994304695e+00
2.762610593046197000e+15 1.050537332292119430e+01 2.378510823508913852e+00 2.936776008343511712e+00
2.964366642963882000e+15 1.038955092673431047e+01 2.369186614658649770e+00 2.920408534483680096e+00
3.180857126963900000e+15 1.027820246663720383e+01 2.357707991827113769e+00 2.900076850964735442e+00
3.413158114625400000e+15 1.016969030010189279e+01 2.344307738481097303e+00 2.876172734005154830e+00
3.662424261900974000e+15 1.006612977425091593e+01 2.329605199785478309e+00 2.849797783446544663e+00
3.929894550353417500e+15 9.966400230017846695e+00 2.313753166971161956e+00 2.821231252877866691e+00
4.216898445534342000e+15 9.870901752117600125e+00 2.297079733473609942e+00 2.791077144118990550e+00
4.524862505115000000e+15 9.779010218340188132e+00 2.279696435831227497e+00 2.759553530620403095e+00
4.855317469615089000e+15 9.692012654457277776e+00 2.262048299746224789e+00 2.727487914998207863e+00
5.209905870974155000e+15 9.608503600664326072e+00 2.244024408766577938e+00 2.694696618071986016e+00
5.590390196784140000e+15 9.528786277082193834e+00 2.225829486865130491e+00 2.661570406260657773e+00
5.998661650763491000e+15 9.453547878908857172e+00 2.207756101304426455e+00 2.628660146057283598e+00
6.436749553016932000e+15 9.382117519773899517e+00 2.189767589675359005e+00 2.595911946685300897e+00
6.906831426805073000e+15 9.314333979489578752e+00 2.171922150218922543e+00 2.563447600826411321e+00
7.411243821960264000e+15 9.250726569294945634e+00 2.154455695869273324e+00 2.531705103587092776e+00
7.952493928746684000e+15 9.190938591872406249e+00 2.137358706597515923e+00 2.500676476094965572e+00
8.533272039891599000e+15 9.135305846568693156e+00 2.120815887752078410e+00 2.470702411678429744e+00
9.156464922730438000e+15 9.082885826547615338e+00 2.104609315017316185e+00 2.441392096305617709e+00
