# rho_c radius mass mb
2.895528447126584375e+14 2.640858629545445879e+01 1.229858058093544620e-01 1.225066109371642648e-01
3.106991612940479375e+14 2.065366407362697032e+01 1.403653930185466414e-01 1.400302256232235643e-01
3.333898132640401250e+14 1.702776083701079912e+01 1.652227987546512622e-01 1.651914504400749661e-01
3.577375848885525625e+14 1.493225592276293945e+01 1.956588937093330649e-01 1.961453517434666449e-01
3.838634971745191875e+14 1.362207644154954878e+01 2.327537138002335471e-01 2.340810686763264981e-01
4.118974094068338750e+14 1.278075156870446705e+01 2.772676974601678834e-01 2.799089598907674725e-01
4.419786646161020625e+14 1.224059965610590694e+01 3.295299803613425116e-01 3.341383765418555196e-01
4.742567821855105625e+14 1.189933136436970962e+01 3.894680803737748942e-01 3.968944769525997729e-01
5.088922010394268750e+14 1.168954088019127369e+01 4.564834497513992062e-01 4.677672716524773344e-01
5.460570771077618750e+14 1.156635876982832656e+01 5.284682482906251089e-01 5.447240770595617176e-01
5.859361390299055000e+14 1.149676386080285440e+01 6.024108056121452170e-01 6.246798021866877271e-01
6.287276063515242500e+14 1.145692654179334902e+01 6.785881043033489268e-01 7.080393472032031621e-01
6.746441747781347500e+14 1.143265114071345501e+01 7.578474768393718142e-01 7.958666743745724803e-01
7.239140733826745000e+14 1.141493307150748926e+01 8.406964210147926941e-01 8.888991909521481993e-01
7.767821990219321250e+14 1.139812100656541638e+01 9.228426485580667471e-01 9.824271318696131683e-01
8.335113336004797500e+14 1.137767709561784990e+01 1.004132662853834068e+00 1.076308088768022087e+00
8.943834502325333750e+14 1.135032482850308888e+01 1.085878704300356601e+00 1.172121264235167493e+00
9.597011147940438750e+14 1.131390259387878139e+01 1.167218003272257221e+00 1.268927605940086245e+00
1.029788989831453250e+15 1.126772310541802113e+01 1.246440318598446950e+00 1.364711896337020614e+00
1.104995448302324750e+15 1.121034003845019811e+01 1.324188740607172177e+00 1.460268241847619164e+00
1.185694305168965250e+15 1.114094523152997773e+01 1.400353834706429712e+00 1.555507264154713853e+00
1.272286675451961750e+15 1.105999020044012759e+01 1.473771589893817735e+00 1.648964273927282953e+00
1.365202967979115000e+15 1.096824633555817918e+01 1.543375706653799195e+00 1.739199731804256244e+00
1.464905024739729750e+15 1.086650196983563532e+01 1.608376205228766231e+00 1.825057831220482818e+00
1.571888416477964000e+15 1.075598679189640627e+01 1.668014912513153369e+00 1.905334809984197575e+00
1.686684905935520250e+15 1.063887755688649150e+01 1.721195815530686346e+00 1.978264172003399546e+00
1.809865090987262750e+15 1.051623675911621802e+01 1.767863579546825825e+00 2.043450784652120600e+00
1.942041240807519750e+15 1.039088584887774402e+01 1.807352152710870019e+00 2.099593583602465952e+00
2.083870339164276250e+15 1.026346322165988667e+01 1.840126553343815585e+00 2.146984938618761607e+00
2.236057349968003500e+15 1.013612373421515578e+01 1.866277717812990344e+00 2.185400248507982202e+00
2.399358721306591000e+15 1.000911425732565263e+01 1.886495003837559636e+00 2.215537174210089777e+00
2.574586145383246500e+15 9.884921501098606456e+00 1.901093650382069900e+00 2.237588345233557430e+00
2.762610593046197000e+15 9.762177675118161702e+00 1.910947401887200581e+00 2.252647419618905023e+00
2.964366642963882000e+15 9.642962377610764690e+00 1.916508367418324310e+00 2.261226344936417387e+00
3.180857126963900000e+15 9.526223805884384888e+00 1.918416365763264464e+00 2.264175849232533011e+00
3.413158114625400000e+15 9.409570230234525212e+00 1.917074185896079364e+00 2.262018638149090766e+00
3.662424261900974000e+15 9.284131806375059526e+00 1.911789413160625895e+00 2.253550925690149143e+00
3.929894550353417500e+15 9.193669126881340858e+00 1.906057360687930968e+00 2.244323344018585686e+00
4.216898445534342000e+15 9.082828164410875260e+00 1.897152419644206667e+00 2.229934827426226285e+00
4.524862505115000000e+15 8.972501873690868379e+00 1.886306490276330239e+00 2.212358422194810714e+00
4.855317469615089000e+15 8.862917733959504218e+00 1.873729698914695208e+00 2.191936577662982000e+00
5.209905870974155000e+15 8.754356139348647758e+00 1.859639145176008590e+00 2.169030285867225682e+00
5.590390196784140000e+15 8.647102914927311090e+00 1.844243525139212192e+00 2.143993656962217109e+00
5.998661650763491000e+15 8.541459106126096046e+00 1.827742396139644621e+00 2.117165628976398484e+00
6.436749553016932000e+15 8.437630050965893247e+00 1.810309818357562550e+00 2.088852861889315626e+00
6.906831426805073000e+15 8.335974042005654283e+00 1.792125425474012879e+00 2.059359478076296934e+00
7.411243821960264000e+15 8.236619220584392664e+00 1.773341966118374025e+00 2.028959066237843611e+00
7.952493928746684000e+15 8.139903863857755439e+00 1.754101750052347475e+00 1.997892860780810853e+00
8.533272039891599000e+15 8.045877253927020689e+00 1.734534644200258047e+00 1.966392480708471169e+00
9.156464922730438000e+15 7.954963249398327108e+00 1.714781026259755148e+00 1.934692184767225154e+00
