# rho_c radius mass mb
2.299999999999999688e+14 1.872564845868375016e+01 1.779030709786811881e-01 1.779125801577439436e-01
2.479595829578174375e+14 1.649939055639497099e+01 2.156131190125943065e-01 2.162441561622086283e-01
2.673215425244120000e+14 1.521172248589804354e+01 2.597993309391560257e-01 2.614212050136851540e-01
2.881953834782333750e+14 1.444876984343282800e+01 3.086318841127130286e-01 3.116734039685996605e-01
3.106991612940479375e+14 1.397456317735401043e+01 3.615803357840186583e-01 3.665428663457800940e-01
3.349601498252860625e+14 1.366017153171291376e+01 4.208078721778525377e-01 4.283858434783885394e-01
3.611155611224608125e+14 1.345236663655545861e+01 4.859979507612746663e-01 4.970245226987836662e-01
3.893133214587114375e+14 1.331549408434054449e+01 5.575109206738089185e-01 5.730146953179117153e-01
4.197129079514122500e+14 1.322633427132333672e+01 6.348844153039389093e-01 6.560605366440231956e-01
4.524862505115000625e+14 1.316837663027941296e+01 7.181560077046706958e-01 7.464189923820313544e-01
4.878187042216438125e+14 1.312966224162121165e+01 8.065231783685413713e-01 8.434492367090364873e-01
5.259100976427031875e+14 1.310092241825317849e+01 8.994135679523043159e-01 9.467559664896135763e-01
5.669758629773466250e+14 1.307539130246732739e+01 9.959604199716216577e-01 1.055609081681439854e+00
6.112482544826588750e+14 1.304762222276918315e+01 1.095002311849431198e+00 1.168915131906919758e+00
6.589776620226696250e+14 1.301391665260456598e+01 1.195365036220308541e+00 1.285516805315261468e+00
7.104340271898206250e+14 1.297276418838850809e+01 1.293404427823070080e+00 1.401258323959948537e+00
7.659083700044812500e+14 1.294290202972914727e+01 1.347558515432183412e+00 1.466015194211759631e+00
8.257144348270125000e+14 1.292385429827659671e+01 1.371142559951715301e+00 1.494409523302060672e+00
8.901904647911132500e+14 1.290592532832360995e+01 1.385917708563737083e+00 1.512260436458579660e+00
9.597011147940441250e+14 1.287309677400205921e+01 1.402668744533640099e+00 1.532560105533534944e+00
1.034639513862972500e+15 1.281794850003217867e+01 1.420024558036180995e+00 1.553668998219715380e+00
1.115429488561485375e+15 1.273687134060608095e+01 1.436420755876019362e+00 1.573692641053947128e+00
1.202527960011120000e+15 1.262781674624568140e+01 1.451529283219374911e+00 1.592227309195934914e+00
1.296427528084662500e+15 1.248997612639761101e+01 1.465555918459916951e+00 1.609521050934976216e+00
1.397659257386552500e+15 1.232478538923141720e+01 1.478896941351707239e+00 1.626062017758388878e+00
1.506795680776967000e+15 1.213448890435437733e+01 1.492091424839579794e+00 1.642525372513226722e+00
1.624454037426510500e+15 1.192292024572384257e+01 1.505616157392221544e+00 1.659524721206201647e+00
1.751299763714871500e+15 1.169504558632100277e+01 1.519713191751698389e+00 1.677385769817926198e+00
1.888050256716799250e+15 1.145595040227898664e+01 1.534322427115226928e+00 1.696061664282644710e+00
2.035478931560424500e+15 1.121016515366318345e+01 1.549237080439294312e+00 1.715317149805295927e+00
2.194419595604986250e+15 1.096182138645725423e+01 1.564083900863459498e+00 1.734691682615721708e+00
2.365771164176847500e+15 1.071457398861678634e+01 1.578379975377043110e+00 1.753561169215599236e+00
2.550502744534441000e+15 1.047139029802302623e+01 1.591600038164526110e+00 1.771218406152142544e+00
2.749659116815342500e+15 1.023438146360269307e+01 1.603269580441221365e+00 1.786994580918042086e+00
2.964366642963882000e+15 1.000513334378184815e+01 1.612984636455538467e+00 1.800287271209309647e+00
3.195839637058217500e+15 9.791893405818113294e+00 1.620186441473582484e+00 1.810252912242508838e+00
3.445387233065297000e+15 9.589279288290709857e+00 1.624870564281813978e+00 1.816795528250583214e+00
3.714420788865476000e+15 9.394117398456669932e+00 1.627038482375616768e+00 1.819833422759386865e+00
4.004461868421440000e+15 9.206241973606992701e+00 1.626733149317118210e+00 1.819345335264869412e+00
4.317150847235925000e+15 9.025732118553747796e+00 1.624039902520235001e+00 1.815381678094022622e+00
4.654256189767862000e+15 8.850274045304502124e+00 1.619091838936536965e+00 1.808074069581594445e+00
5.017684451276867000e+15 8.679389789953015466e+00 1.612030529530253276e+00 1.797605358777733420e+00
5.409491060663205000e+15 8.513077598855286254e+00 1.603021497935785744e+00 1.784212442068787707e+00
5.831891945287350000e+15 8.351398042666366095e+00 1.592250268083818421e+00 1.768174856755484692e+00
6.287276063515244000e+15 8.194492802250730179e+00 1.579914520537881506e+00 1.749796158900498888e+00
6.778218915869165000e+15 8.042575530386944394e+00 1.566205306006838827e+00 1.729376394874813094e+00
7.307497111198733000e+15 7.895833990001729141e+00 1.551319941926153412e+00 1.707226143917685679e+00
7.878104070253449000e+15 7.754385684902305620e+00 1.535444910940255037e+00 1.683641693443473031e+00
8.493266955470998000e+15 7.618402102482240146e+00 1.518749192115514068e+00 1.658889488008084667e+00
9.156464922730438000e+15 7.488153324964412327e+00 1.501442028406876572e+00 1.633298762509193036e+00
