# rho_c radius mass mb
2.299999999999999688e+14 1.774425918265378854e+01 2.043003961401035073e-01 2.046828581214932830e-01
2.479595829578174375e+14 1.632237778966630870e+01 2.386724696179400862e-01 2.397247762132119209e-01
2.673215425244120000e+14 1.541373153509823801e+01 2.755491780074688646e-01 2.775047048663502602e-01
2.881953834782333750e+14 1.481750882059771612e+01 3.129278630578430365e-01 3.159935684429251990e-01
3.106991612940479375e+14 1.441173102674755668e+01 3.490562857166620292e-01 3.533826079559576061e-01
3.349601498252860625e+14 1.411266751700491362e+01 3.842344417600077611e-01 3.899672633954107681e-01
3.611155611224608125e+14 1.387448791933677050e+01 4.192875994554634000e-01 4.265998028922333152e-01
3.893133214587114375e+14 1.367078274228641632e+01 4.553554484245961875e-01 4.644804839828605147e-01
4.197129079514122500e+14 1.348519728905104031e+01 4.938253225288255499e-01 5.050963520705951115e-01
4.524862505115000625e+14 1.331562080739872833e+01 5.341340544765790233e-01 5.478924397207318719e-01
4.878187042216438125e+14 1.316038849197981087e+01 5.754861632158382312e-01 5.920581591354212581e-01
5.259100976427031875e+14 1.301492032556260803e+01 6.179635163390475583e-01 6.377115316726867933e-01
5.669758629773466250e+14 1.287567158666979594e+01 6.616310725830130135e-01 6.849548263661675573e-01
6.112482544826588750e+14 1.274080135450189388e+01 7.061772550161251605e-01 7.334817723571618320e-01
6.589776620226696250e+14 1.260865093270459525e+01 7.514043916332182604e-01 7.831090535308492528e-01
7.104340271898206250e+14 1.247731657095940960e+01 7.972623381400798515e-01 8.338135115842265632e-01
7.659083700044812500e+14 1.234595082721107673e+01 8.434236546184837868e-01 8.852591956113281535e-01
8.257144348270125000e+14 1.221372736371645651e+01 8.896077918574925025e-01 9.371581079971846862e-01
8.901904647911132500e+14 1.207957973713973487e+01 9.356900659967697376e-01 9.893907399033491368e-01
9.597011147940441250e+14 1.194349868538767012e+01 9.811969313104447199e-01 1.041432259468223265e+00
1.034639513862972500e+15 1.180465320845616617e+01 1.025996162478380436e+00 1.093139835116056169e+00
1.115429488561485375e+15 1.166322669000165391e+01 1.069646387586384417e+00 1.144000685395985428e+00
1.202527960011120000e+15 1.151873586988562614e+01 1.111966317636239543e+00 1.193794658253497065e+00
1.296427528084662500e+15 1.137157394791923082e+01 1.152549635278562690e+00 1.242021983976874466e+00
1.397659257386552500e+15 1.122138830019260602e+01 1.191249959591230034e+00 1.288480172285270786e+00
1.506795680776967000e+15 1.106884240032784739e+01 1.227700728773807981e+00 1.332690629709197605e+00
1.624454037426510500e+15 1.091410331360743058e+01 1.261684678020374983e+00 1.374334735951221909e+00
1.751299763714871500e+15 1.075739892708311807e+01 1.293046981558737096e+00 1.413161044798428412e+00
1.888050256716799250e+15 1.059816119807300971e+01 1.321827017081023348e+00 1.449163383851381326e+00
2.035478931560424500e+15 1.043835278438151981e+01 1.347634606881868535e+00 1.481785116107763312e+00
2.194419595604986250e+15 1.027766846885040941e+01 1.370524728738725662e+00 1.511016227002830226e+00
2.365771164176847500e+15 1.011659893111609776e+01 1.390454773042783199e+00 1.536723934718093210e+00
2.550502744534441000e+15 9.955641383587181537e+00 1.407430771737218977e+00 1.558836566752687780e+00
2.749659116815342500e+15 9.795204337921992632e+00 1.421497023286442785e+00 1.577333420451093593e+00
2.964366642963882000e+15 9.635740923701650473e+00 1.432726312667424340e+00 1.592234186495751880e+00
3.195839637058217500e+15 9.477701497814601694e+00 1.441217422930315184e+00 1.603597695737196682e+00
3.445387233065297000e+15 9.321446635447520279e+00 1.447095241167318802e+00 1.611523987212156950e+00
3.714420788865476000e+15 9.167323494892107405e+00 1.450500223004434597e+00 1.616141403255754394e+00
4.004461868421440000e+15 9.015650425585032934e+00 1.451586366335444467e+00 1.617604986150022794e+00
4.317150847235925000e+15 8.853665610592051038e+00 1.450279308570654901e+00 1.615757359209320843e+00
4.654256189767862000e+15 8.720913819780776066e+00 1.447259048564829564e+00 1.611509754835563468e+00
5.017684451276867000e+15 8.575049856706813856e+00 1.442233010343219934e+00 1.604423594741160253e+00
5.409491060663205000e+15 8.430595735594092588e+00 1.435487751011172541e+00 1.594893175942574848e+00
5.831891945287350000e+15 8.287735275775007793e+00 1.427156321884811785e+00 1.583104153764396838e+00
6.287276063515244000e+15 8.146680236033951417e+00 1.417379378075691587e+00 1.569258543523915028e+00
6.778218915869165000e+15 8.007650975790639336e+00 1.406298125182832592e+00 1.553563254343912403e+00
7.307497111198733000e+15 7.870876816105724316e+00 1.394051012279764690e+00 1.536224120260589965e+00
7.878104070253449000e+15 7.736633188494212554e+00 1.380767767331863016e+00 1.517434972682576433e+00
8.493266955470998000e+15 7.605069057960622381e+00 1.366577365777772002e+00 1.497391905749844820e+00
9.156464922730438000e+15 7.476347684777415736e+00 1.351609552803931136e+00 1.476290937538105252e+00
