# rho_c radius mass mb
2.299999999999999688e+14 4.007406677174238752e+01 1.083559763581509738e-01 1.081201870270363102e-01
2.479595829578174375e+14 2.964772645458026190e+01 1.185369912133654585e-01 1.184013104289491081e-01
2.673215425244120000e+14 2.314154505854636668e+01 1.332266761681646927e-01 1.332662675870072422e-01
2.881953834782333750e+14 1.916299563643308446e+01 1.524238107581315504e-01 1.527475651193613004e-01
3.106991612940479375e+14 1.659086222609498762e+01 1.771136818423468262e-01 1.778951574247710221e-01
3.349601498252860625e+14 1.485011546873399624e+01 2.092185842770938609e-01 2.107482623730158044e-01
3.611155611224608125e+14 1.365799839120495562e+01 2.511764353252421977e-01 2.539405574388401421e-01
3.893133214587114375e+14 1.287022404202855519e+01 3.049043061869875504e-01 3.096697117886161310e-01
4.197129079514122500e+14 1.237831545551708601e+01 3.716249109812947982e-01 3.795255576164708322e-01
4.524862505115000625e+14 1.209999750368803539e+01 4.508633392153986175e-01 4.634084218000322775e-01
4.878187042216438125e+14 1.196145813680168324e+01 5.419043746963203567e-01 5.610129308875027032e-01
5.259100976427031875e+14 1.191147350254916049e+01 6.447582330873709022e-01 6.728891528182622261e-01
5.669758629773466250e+14 1.191540802195222248e+01 7.580444708593009340e-01 7.981194310325764318e-01
6.112482544826588750e+14 1.194648647105993966e+01 8.778859940121795935e-01 9.329384116227817936e-01
6.589776620226696250e+14 1.198703166165058676e+01 1.002657928288471778e+00 1.075996575628876739e+00
7.104340271898206250e+14 1.202623805453701067e+01 1.131140226784139280e+00 1.226330742049458467e+00
7.659083700044812500e+14 1.205363108576314168e+01 1.258852934296687431e+00 1.378953915755602111e+00
8.257144348270125000e+14 1.206552821012951249e+01 1.382578088875216160e+00 1.530080756978040579e+00
8.901904647911132500e+14 1.205901125831846876e+01 1.500830221842787138e+00 1.677798300265818554e+00
9.597011147940441250e+14 1.203262334180570470e+01 1.609717260713303677e+00 1.816886450578951040e+00
1.034639513862972500e+15 1.198834349380169151e+01 1.704762208641086962e+00 1.940925484616083274e+00
1.115429488561485375e+15 1.192668287252910098e+01 1.789564121291668641e+00 2.053897600192851058e+00
1.202527960011120000e+15 1.185153053896760689e+01 1.861756685542428347e+00 2.151962270011475109e+00
1.296427528084662500e+15 1.176600119996771987e+01 1.921676743739974436e+00 2.234831999810629632e+00
1.397659257386552500e+15 1.164483704528214503e+01 1.984185199654746823e+00 2.322919196469642955e+00
1.506795680776967000e+15 1.147356198688575901e+01 2.051839101916147268e+00 2.420445320481320106e+00
1.624454037426510500e+15 1.128530075200468374e+01 2.114065008161255754e+00 2.512499034655663710e+00
1.751299763714871500e+15 1.112492104764815437e+01 2.158495765633109631e+00 2.579847487650602567e+00
1.888050256716799250e+15 1.097884400831873641e+01 2.190486354474280084e+00 2.629331374975329538e+00
2.035478931560424500e+15 1.084058904831271164e+01 2.213038880312107715e+00 2.664814286530996945e+00
2.194419595604986250e+15 1.070909906909057696e+01 2.227721795437651142e+00 2.688236524229937974e+00
2.365771164176847500e+15 1.058332296543664341e+01 2.235968274831391156e+00 2.701514442676474115e+00
2.550502744534441000e+15 1.046252641725738286e+01 2.238952777404451755e+00 2.706292945991136900e+00
2.749659116815342500e+15 1.034625945687649562e+01 2.237629364036942903e+00 2.703962519634529382e+00
2.964366642963882000e+15 1.023413584762234763e+01 2.232775311072030089e+00 2.695696836449412714e+00
3.195839637058217500e+15 1.012588874379263082e+01 2.225028209882046415e+00 2.682489702329237780e+00
3.445387233065297000e+15 1.002138408399451386e+01 2.214907594979726113e+00 2.665175352616826920e+00
3.714420788865476000e+15 9.920419256229349614e+00 2.202846952218167509e+00 2.644467096916012672e+00
4.004461868421440000e+15 9.822972497801247371e+00 2.189200893862725650e+00 2.620963362647412698e+00
4.317150847235925000e+15 9.728881471821178906e+00 2.174271249024180896e+00 2.595183649010670113e+00
4.654256189767862000e+15 9.638274577988585889e+00 2.158326451378710154e+00 2.567598281401848759e+00
5.017684451276867000e+15 9.550973163308425384e+00 2.141575589367504140e+00 2.538581357787803583e+00
5.409491060663205000e+15 9.466942651873816672e+00 2.124193797152617247e+00 2.508449572289106477e+00
5.831891945287350000e+15 9.386203399718707985e+00 2.106349885451442194e+00 2.477511362241890946e+00
6.287276063515244000e+15 9.308699917832651494e+00 2.088181904379048159e+00 2.446020498510554475e+00
6.778218915869165000e+15 9.234412900162002558e+00 2.069798626870131830e+00 2.414180801485246164e+00
7.307497111198733000e+15 9.163376038564173598e+00 2.051317186411922844e+00 2.382208330543084340e+00
7.878104070253449000e+15 9.095604527533001971e+00 2.032823856904770743e+00 2.350263702577102709e+00
8.493266955470998000e+15 9.030086302740487625e+00 2.014141417157120362e+00 2.318054203606089825e+00
9.156464922730438000e+15 8.967111222039777729e+00 1.995409522869549646e+00 2.285832602532483104e+00
