# rho_c radius mass mb
2.895528447126584375e+14 2.066045235736608987e+01 1.349251331786354702e-01 1.345898272966985498e-01
3.106991612940479375e+14 1.736342379972777294e+01 1.573314067948923811e-01 1.572577458025291586e-01
3.333898132640401250e+14 1.540865601894433290e+01 1.830815511239187177e-01 1.834149840164182865e-01
3.577375848885525625e+14 1.415136007244869099e+01 2.124213827981581149e-01 2.133550400932200108e-01
3.838634971745191875e+14 1.330636264236576771e+01 2.453998724212369531e-01 2.471795629503217018e-01
4.118974094068338750e+14 1.271775914118752482e+01 2.821874857081497767e-01 2.851239323618708910e-01
4.419786646161020625e+14 1.229679019200198731e+01 3.232292847244900291e-01 3.277200002097353515e-01
4.742567821855105625e+14 1.199061330163899264e+01 3.687581432622651367e-01 3.752982199266017838e-01
5.088922010394268750e+14 1.176604335884012187e+01 4.193124649064204346e-01 4.285319182315234787e-01
5.460570771077618750e+14 1.160025490275913285e+01 4.751908013738823655e-01 4.878720815909176056e-01
5.859361390299055000e+14 1.147847562720764714e+01 5.365247061335778334e-01 5.536159872725427977e-01
6.287276063515242500e+14 1.138872055001129269e+01 6.033742636066975473e-01 6.260131731536877631e-01
6.746441747781347500e+14 1.132238383127543280e+01 6.754599660017635010e-01 7.049717948355540553e-01
7.239140733826745000e+14 1.127175646295363443e+01 7.519640351679932611e-01 7.898124258526988406e-01
7.767821990219321250e+14 1.123071808814376027e+01 8.316095654177667607e-01 8.793184754275791271e-01
8.335113336004797500e+14 1.119371093718330634e+01 9.134689375341135120e-01 9.726185607088254637e-01
8.943834502325333750e+14 1.115659336169648697e+01 9.961471230672477306e-01 1.068263128157463493e+00
9.597011147940438750e+14 1.111609171489224401e+01 1.078078444350519138e+00 1.164517262605363701e+00
1.029788989831453250e+15 1.106961675517692534e+01 1.158535676324169206e+00 1.260556594027082200e+00
1.104995448302324750e+15 1.101604352003861464e+01 1.235761537165667168e+00 1.354250577459969351e+00
1.185694305168965250e+15 1.095425922936813912e+01 1.309015107638210162e+00 1.444595803171159654e+00
1.272286675451961750e+15 1.088392207776377774e+01 1.377539902430389152e+00 1.530505558523617804e+00
1.365202967979115000e+15 1.080455913620358643e+01 1.441301636686152854e+00 1.611767342597905328e+00
1.464905024739729750e+15 1.071739658233372161e+01 1.499187297776117145e+00 1.686745523589648466e+00
1.571888416477964000e+15 1.062174646822877833e+01 1.551886192549730925e+00 1.756106231130029061e+00
1.686684905935520250e+15 1.051904500781433960e+01 1.598841104268831304e+00 1.818882531088696020e+00
1.809865090987262750e+15 1.040879906731607285e+01 1.640647739361617230e+00 1.875643789041762766e+00
1.942041240807519750e+15 1.029241525897126763e+01 1.677113265928698915e+00 1.925904530886912713e+00
2.083870339164276250e+15 1.017091944153523464e+01 1.708387024817821676e+00 1.969646363611603501e+00
2.236057349968003500e+15 1.004632537813509252e+01 1.734375071949131986e+00 2.006507331405021688e+00
2.399358721306591000e+15 9.919064737181189528e+00 1.755512073856739574e+00 2.036893309381040407e+00
2.574586145383246500e+15 9.791484159089023365e+00 1.771847008279519242e+00 2.060669566475461512e+00
2.762610593046197000e+15 9.663301142106330843e+00 1.783924266781923729e+00 2.078454978890989846e+00
2.964366642963882000e+15 9.535911145302408798e+00 1.792020618252015751e+00 2.090499091269045095e+00
3.180857126963900000e+15 9.409814543484738891e+00 1.796545522925504734e+00 2.097285371746211879e+00
3.413158114625400000e+15 9.284848533160952044e+00 1.797873883583182453e+00 2.099269032140671953e+00
3.662424261900974000e+15 9.162812053231414566e+00 1.796358251356455549e+00 2.096900620100185630e+00
3.929894550353417500e+15 9.042417170562236706e+00 1.792322441552343992e+00 2.090611096780071065e+00
4.216898445534342000e+15 8.925616956396758894e+00 1.786126328127822127e+00 2.080904535725000670e+00
4.524862505115000000e+15 8.811613135938626939e+00 1.778032826346886530e+00 2.068157740042597226e+00
4.855317469615089000e+15 8.700670043318421421e+00 1.768294635465062381e+00 2.052740219646192354e+00
5.209905870974155000e+15 8.593757534660765529e+00 1.757241037505673065e+00 2.035159104863722312e+00
5.590390196784140000e+15 8.489586036600485386e+00 1.744949270070994762e+00 2.015530021724433851e+00
5.998661650763491000e+15 8.389629895349111521e+00 1.731770405797627310e+00 1.994410384007609949e+00
6.436749553016932000e+15 8.293302250548837407e+00 1.717813040990781692e+00 1.971979360679517290e+00
6.906831426805073000e+15 8.200182520917335793e+00 1.703155716751747040e+00 1.948368825173892649e+00
7.411243821960264000e+15 8.111384730745818672e+00 1.688120215643369448e+00 1.924105435950701937e+00
7.952493928746684000e+15 8.025886337410346627e+00 1.672661973876980124e+00 1.899128718254630810e+00
8.533272039891599000e+15 7.944029279999304194e+00 1.656939616221689171e+00 1.873704227474214390e+00
9.156464922730438000e+15 7.866219092510193356e+00 1.641141064888270718e+00 1.848147283242510985e+00
