# rho_c radius mass mb
1.826954939865847188e+14 1.982359106540069860e+01 2.309274605858741836e-01 2.313140917119182183e-01
1.978890272009002812e+14 1.826655163227314915e+01 2.686084734577820488e-01 2.697151908832917111e-01
2.143461025338378750e+14 1.720982294137570889e+01 3.113810148603545214e-01 3.135236871338255571e-01
2.321718001312077188e+14 1.648370457151723656e+01 3.583440745080926360e-01 3.618899211533780358e-01
2.514799389350030625e+14 1.595414706792879755e+01 4.112861604217065148e-01 4.167471321262246065e-01
2.723938034292394688e+14 1.556557612787358735e+01 4.701802089325959333e-01 4.781876065124116559e-01
2.950469308242686875e+14 1.527697289528237512e+01 5.353095908183169715e-01 5.466467631150766504e-01
3.195839637058216250e+14 1.506048031341468985e+01 6.066372383307244709e-01 6.222478753943804231e-01
3.461615735930341250e+14 1.489577172726910526e+01 6.839066395053415848e-01 7.048983817217558956e-01
3.749494613024688125e+14 1.476711533263036458e+01 7.668186066323489092e-01 7.944733797104676087e-01
4.061314405055634375e+14 1.466257878837649287e+01 8.547809541173494452e-01 8.905390799624124387e-01
4.399066113981318125e+14 1.457274716314232244e+01 9.469142707270287174e-01 9.923407835897384288e-01
4.764906319759207500e+14 1.449006216671258862e+01 1.042323935397940327e+00 1.099087335422125111e+00
5.161170950334495000e+14 1.440922400312762974e+01 1.139331355090303255e+00 1.209067889883264302e+00
5.590390196784141250e+14 1.432706149078985014e+01 1.235515616488411794e+00 1.319628355736578218e+00
6.055304668851313750e+14 1.424974395720392550e+01 1.316989711903081117e+00 1.414529899836535654e+00
6.558882894024988750e+14 1.417239586552151387e+01 1.383349925763983412e+00 1.492724574143473593e+00
7.104340271898207500e+14 1.407771608116618900e+01 1.448183023713075501e+00 1.569954529443718272e+00
7.695159604830475000e+14 1.396566378712915935e+01 1.510126124160195316e+00 1.644570361338621112e+00
8.335113336004800000e+14 1.383598114171066840e+01 1.569261907841184023e+00 1.716624266508701702e+00
9.028287636871642500e+14 1.368959581186384256e+01 1.625467703488504112e+00 1.785918885636820663e+00
9.779108497780651250e+14 1.352794464815757536e+01 1.678532270555711969e+00 1.852137367356971653e+00
1.059236998839155625e+15 1.335302215971320194e+01 1.728127811405240966e+00 1.914799834793589284e+00
1.147326486830996250e+15 1.316720916203894909e+01 1.773871314932944587e+00 1.973332297838139127e+00
1.242741774340007250e+15 1.297644252610314730e+01 1.814612521279726165e+00 2.026130707346174731e+00
1.346092097948091250e+15 1.278258536829209824e+01 1.850124158570247035e+00 2.072730269162237793e+00
1.458037360271878000e+15 1.258772351706145720e+01 1.880249953767357152e+00 2.112745101826571492e+00
1.579292343509890500e+15 1.239074080909144904e+01 1.905316458477184449e+00 2.146432509337048433e+00
1.710631273401581250e+15 1.219175348951967131e+01 1.925539994701904956e+00 2.173919629025892419e+00
1.852892762739585500e+15 1.199293985485603287e+01 1.940977710867203498e+00 2.195127401009839385e+00
2.006985166000040250e+15 1.180003952112673637e+01 1.951631832678375256e+00 2.209906140916463091e+00
2.173892379280841000e+15 1.160982544821034068e+01 1.958015316971734254e+00 2.218830886288701176e+00
2.354680122581046000e+15 1.142062658684648113e+01 1.960485135687743519e+00 2.222288365575039837e+00
2.550502744534441000e+15 1.123277305955741490e+01 1.959342320094238588e+00 2.220608463137825339e+00
2.762610593046197000e+15 1.104687274723632129e+01 1.954906074525325499e+00 2.214166059149521804e+00
2.992357998894912000e+15 1.086445660070141450e+01 1.947457374984562284e+00 2.203298287758017171e+00
3.241211923276163500e+15 1.068276990519274072e+01 1.937242170964390109e+00 2.188312911076845335e+00
3.510761324503038000e+15 1.050277127602355698e+01 1.924592881064357108e+00 2.169679123393821740e+00
3.802727303671020000e+15 1.032479304338257187e+01 1.909737352547185463e+00 2.147733842276470462e+00
4.118974094068339500e+15 1.014921994965867036e+01 1.892924199046483347e+00 2.122856259608870477e+00
4.461520964500338000e+15 9.976478327940631274e+00 1.874400918993682996e+00 2.095431213513534452e+00
4.832555112531808000e+15 9.806987548408763189e+00 1.854400783294276378e+00 2.065826223197745115e+00
5.234445629972016000e+15 9.641106490145052277e+00 1.833140536604382698e+00 2.034387815302111768e+00
5.669758629773470000e+15 9.479217318340481313e+00 1.810835572484829736e+00 2.001459727472301608e+00
6.141273630931303000e+15 9.321634315950529270e+00 1.787672512656115265e+00 1.967341871851183477e+00
6.652001306002515000e+15 9.168772241773314846e+00 1.763855857865726628e+00 1.932359191556245470e+00
7.205202704564873000e+15 9.020903921039934659e+00 1.739529994023123249e+00 1.896743827513284630e+00
7.804410075359257000e+15 8.878205352350235557e+00 1.714866893204646914e+00 1.860767489401470298e+00
8.453449420067001000e+15 8.740965441485512244e+00 1.690008443013358397e+00 1.824651874409099594e+00
9.156464922730438000e+15 8.609362576784025833e+00 1.665085754194388645e+00 1.788599478993203817e+00
