# rho_c radius mass mb
2.299999999999999688e+14 3.034337737232590726e+01 1.166773431960314161e-01 1.165061075781473471e-01
2.479595829578174375e+14 2.354673140251313512e+01 1.318094131341677744e-01 1.317928527059160637e-01
2.673215425244120000e+14 1.945673389974506762e+01 1.515416063190916651e-01 1.517861925445108673e-01
2.881953834782333750e+14 1.683373040271098020e+01 1.770378757213660892e-01 1.777162306360322297e-01
3.106991612940479375e+14 1.510048090784403563e+01 2.096404890862269277e-01 2.110280847401685977e-01
3.349601498252860625e+14 1.395369040920122217e+01 2.503807098123195241e-01 2.528939574172389126e-01
3.611155611224608125e+14 1.319040549259001516e+01 3.013823538215306130e-01 3.056710106454054166e-01
3.893133214587114375e+14 1.269142327785164248e+01 3.659115420178215561e-01 3.730235093469212448e-01
4.197129079514122500e+14 1.239155270578402401e+01 4.470655946680993087e-01 4.586453884627434419e-01
4.524862505115000625e+14 1.224759263629859340e+01 5.430137610366915224e-01 5.611941113749553400e-01
4.878187042216438125e+14 1.220524303484490680e+01 6.481251949542464752e-01 6.751789978835381900e-01
5.259100976427031875e+14 1.221941421454767784e+01 7.652206878062816076e-01 8.042221039199327626e-01
5.669758629773466250e+14 1.226663530712113293e+01 8.959029588289042501e-01 9.508779085134622111e-01
6.112482544826588750e+14 1.233023089002995221e+01 1.039283508510802312e+00 1.115113047093075682e+00
6.589776620226696250e+14 1.239765585784946822e+01 1.194193434868073167e+00 1.296693671414172133e+00
7.104340271898206250e+14 1.245778722945525807e+01 1.356363870932923099e+00 1.491694282207634892e+00
7.659083700044812500e+14 1.250167028698202820e+01 1.519904054228437662e+00 1.693839223120495729e+00
8.257144348270125000e+14 1.252228044620138725e+01 1.675357754149792600e+00 1.891581330446078235e+00
8.901904647911132500e+14 1.251722668204940980e+01 1.819317034408551859e+00 2.080092098853392191e+00
9.597011147940441250e+14 1.248634024474554138e+01 1.949183949757770318e+00 2.255119401218426134e+00
1.034639513862972500e+15 1.243149406922609401e+01 2.063278382750537876e+00 2.413289870676848192e+00
1.115429488561485375e+15 1.235668318497263485e+01 2.159745900599014501e+00 2.550683153767748568e+00
1.202527960011120000e+15 1.226536184528171702e+01 2.239624810818043432e+00 2.667365931993868067e+00
1.296427528084662500e+15 1.216094704563867879e+01 2.304223817759300630e+00 2.763969590949723276e+00
1.397659257386552500e+15 1.204641344551125925e+01 2.355177927575601959e+00 2.841824408919303657e+00
1.506795680776967000e+15 1.192431851340231752e+01 2.394182894965437569e+00 2.902596455125149966e+00
1.624454037426510500e+15 1.179739547700886426e+01 2.422730573660922815e+00 2.947861996166673215e+00
1.751299763714871500e+15 1.166834998286732983e+01 2.442225821079886394e+00 2.979254317518480022e+00
1.888050256716799250e+15 1.153927354028341767e+01 2.454067592569092238e+00 2.998572525127969790e+00
2.035478931560424500e+15 1.141286484704045989e+01 2.459499502705408958e+00 3.007513436827363495e+00
2.194419595604986250e+15 1.129092500277094935e+01 2.459730120887521743e+00 3.007836160719152829e+00
2.365771164176847500e+15 1.117287401150077208e+01 2.455790133244880380e+00 3.001113001055375928e+00
2.550502744534441000e+15 1.104352930529891452e+01 2.447165298103014752e+00 2.986351959828674740e+00
2.749659116815342500e+15 1.094343799964367037e+01 2.437717057898258322e+00 2.970112613354586095e+00
2.964366642963882000e+15 1.082768133041479430e+01 2.424321549004467613e+00 2.947009788926536089e+00
3.195839637058217500e+15 1.071178721082866758e+01 2.408497443501940172e+00 2.919647931947894737e+00
3.445387233065297000e+15 1.059620205933386927e+01 2.390575374704283274e+00 2.888608602721695728e+00
3.714420788865476000e+15 1.048134472562007247e+01 2.370870044226509155e+00 2.854457467322402131e+00
4.004461868421440000e+15 1.036764664812276493e+01 2.349674473209506509e+00 2.817727396889093683e+00
4.317150847235925000e+15 1.025551984744012834e+01 2.327263097013186677e+00 2.778924349927270665e+00
4.654256189767862000e+15 1.014536133175585064e+01 2.303880530956528894e+00 2.738499914786964862e+00
5.017684451276867000e+15 1.003752604460317066e+01 2.279755746469156463e+00 2.696879200798383724e+00
5.409491060663205000e+15 9.932265931684845839e+00 2.255079864324654793e+00 2.654423934646511718e+00
5.831891945287350000e+15 9.830068682816337500e+00 2.230062275405435557e+00 2.611506849269034536e+00
6.287276063515244000e+15 9.730973798634824590e+00 2.204838216458429478e+00 2.568393525822806556e+00
6.778218915869165000e+15 9.635298388181428919e+00 2.179574237914167156e+00 2.525380296864388363e+00
7.307497111198733000e+15 9.543252827500650071e+00 2.154417898766075812e+00 2.482733055470322192e+00
7.878104070253449000e+15 9.455205654592262476e+00 2.129489306448838271e+00 2.440656047562486108e+00
8.493266955470998000e+15 9.371136629994008871e+00 2.104892339765662701e+00 2.399337543474695522e+00
9.156464922730438000e+15 9.291002496967402990e+00 2.080675159647478623e+00 2.358858671966090448e+00
