# rho_c radius mass mb
1.628275304083516875e+14 3.505236120783018094e+01 1.180437079346081108e-01 1.178182216930321879e-01
1.767836603091479688e+14 2.051417258976048785e+01 1.690120648431681083e-01 1.693363268703721725e-01
1.919359857262640625e+14 1.654597257280095235e+01 2.507981488826770411e-01 2.527770692421382193e-01
2.083870339164276562e+14 1.541625363794707582e+01 3.417870748975880280e-01 3.466303288413229988e-01
2.262481198623097500e+14 1.507101084508474997e+01 4.195251965063277466e-01 4.276347071531995114e-01
2.456400994783524062e+14 1.493251374318909264e+01 4.872078336059120218e-01 4.987630652204606552e-01
2.666941873747107500e+14 1.485954205197996814e+01 5.577860992852118338e-01 5.735312561619033689e-01
2.895528447126584375e+14 1.481980041828889050e+01 6.434997389057024453e-01 6.651652421118529057e-01
3.143707431590729375e+14 1.480806944138992876e+01 7.379310609635946205e-01 7.671924982828809414e-01
3.413158114625399375e+14 1.481385172036444686e+01 8.436522678079700910e-01 8.827769718431073276e-01
3.705703717326658750e+14 1.483003944863741808e+01 9.630645760316961512e-01 1.015115250499785571e+00
4.023323731111636875e+14 1.485200722816192886e+01 1.096478242604974618e+00 1.165291773995888347e+00
4.368167311822668125e+14 1.487564244798949886e+01 1.246979198252035959e+00 1.337777698808623184e+00
4.742567821855105625e+14 1.489558824546335636e+01 1.413752567014584072e+00 1.532952397823695856e+00
5.149058618707180000e+14 1.490612751412798254e+01 1.590898734915091817e+00 1.745232116961721092e+00
5.590390196784140000e+14 1.490032284631329240e+01 1.773984371883420508e+00 1.970484649474185446e+00
6.069548798445617500e+14 1.487225675294276961e+01 1.952273977388367276e+00 2.196089746770482964e+00
6.589776620226693750e+14 1.481889605193387638e+01 2.117115582830720211e+00 2.410777456896022297e+00
7.154593750956797500e+14 1.474030956781790458e+01 2.263241179286172855e+00 2.606603810333095961e+00
7.767821990219318750e+14 1.463875145389998700e+01 2.388235289346655854e+00 2.778783968769126034e+00
8.433610708318075000e+14 1.451923935292587586e+01 2.490721095266177798e+00 2.923638568029773399e+00
9.156464922730435000e+14 1.438418379997174767e+01 2.573614848008910272e+00 3.043613231868241620e+00
9.941275781024677500e+14 1.423806450091143461e+01 2.638321239599046741e+00 3.139312899588861061e+00
1.079335365650232375e+15 1.408468262162181439e+01 2.687041242830196630e+00 3.212782726053374116e+00
1.171846408050501250e+15 1.392631116445220663e+01 2.722285841317939159e+00 3.266860500447523741e+00
1.272286675451961750e+15 1.376468212951205139e+01 2.746193308372540720e+00 3.304112467944029685e+00
1.381335790605458250e+15 1.360179341833132405e+01 2.760501758369194203e+00 3.326713843832254991e+00
1.499731627488580750e+15 1.343908611756032379e+01 2.766782652236221107e+00 3.336757616507316282e+00
1.628275304083516750e+15 1.327764335023039521e+01 2.766379064413226896e+00 3.336115683274239796e+00
1.767836603091479000e+15 1.311823816583848412e+01 2.760427686273546399e+00 3.326434456209351964e+00
1.919359857262640500e+15 1.296149231677519431e+01 2.749880699378612903e+00 3.309141486645244878e+00
2.083870339164275500e+15 1.280797734680480815e+01 2.735546206699467131e+00 3.285486112385390012e+00
2.262481198623097000e+15 1.265790602125212594e+01 2.718079481966075406e+00 3.256510598785183674e+00
2.456400994783524500e+15 1.251189224242509823e+01 2.698088735559946105e+00 3.223208118065962857e+00
2.666941873747107500e+15 1.236996324753395626e+01 2.676030678627450143e+00 3.186340031069841761e+00
2.895528447126585000e+15 1.223246477715188085e+01 2.652338216957195627e+00 3.146643174628000139e+00
3.143707431590729500e+15 1.209934225830750165e+01 2.627328349247024075e+00 3.104668255554628331e+00
3.413158114625400000e+15 1.197112742280962472e+01 2.601377196796965663e+00 3.061069932947101169e+00
3.705703717326659000e+15 1.184765737974647060e+01 2.574696984753744200e+00 3.016231072449661710e+00
4.023323731111637000e+15 1.172900921005708419e+01 2.547509862713432938e+00 2.970549536546532643e+00
4.368167311822666500e+15 1.161548429313013031e+01 2.520064663036732266e+00 2.924468788630101734e+00
4.742567821855106000e+15 1.150682106836032048e+01 2.492460626586930239e+00 2.878177408739501342e+00
5.149058618707181000e+15 1.140321893273037546e+01 2.464881618745942138e+00 2.832004814894941269e+00
5.590390196784140000e+15 1.130479251327690982e+01 2.437487006556339875e+00 2.786234018955755509e+00
6.069548798445618000e+15 1.121150245333288176e+01 2.410371799888661126e+00 2.741037938805994667e+00
6.589776620226694000e+15 1.112332782942388754e+01 2.383632688080114193e+00 2.696589137480349674e+00
7.154593750956800000e+15 1.104032151272624596e+01 2.357371954618336041e+00 2.653064665991550442e+00
7.767821990219319000e+15 1.096249798974733203e+01 2.331676349985070562e+00 2.610613801326281180e+00
8.433610708318076000e+15 1.088979374363578501e+01 2.306604339578326890e+00 2.569334649702285311e+00
9.156464922730438000e+15 1.082224304200616949e+01 2.282231629684823293e+00 2.529350787704248926e+00
