# rho_c radius mass mb
2.299999999999999688e+14 1.531249124349944601e+01 3.005144932933886959e-01 3.051885174832248415e-01
2.479595829578174375e+14 1.477254083720967337e+01 3.648025858195482751e-01 3.723424695160939546e-01
2.673215425244120000e+14 1.446868067216704468e+01 4.393133096634083135e-01 4.508612195096516895e-01
2.881953834782333750e+14 1.431369078154353325e+01 5.251238532820493576e-01 5.421803133795342067e-01
3.106991612940479375e+14 1.425614966173484888e+01 6.194281153732719147e-01 6.436367669062477148e-01
3.349601498252860625e+14 1.425741835311418271e+01 7.250775815967689386e-01 7.586828513740887514e-01
3.611155611224608125e+14 1.429783745621556612e+01 8.452448767217767278e-01 8.913563066273341162e-01
3.893133214587114375e+14 1.436188396947029844e+01 9.790124277989794566e-01 1.041374204106133794e+00
4.197129079514122500e+14 1.443889856993188303e+01 1.126519707666630454e+00 1.209734148946845167e+00
4.524862505115000625e+14 1.451836619087540825e+01 1.287576720076117009e+00 1.397254919147066676e+00
4.878187042216438125e+14 1.459072695640477413e+01 1.458690581647304807e+00 1.600952136731813136e+00
5.259100976427031875e+14 1.464735721623495657e+01 1.634007259775841714e+00 1.814729455748050224e+00
5.669758629773466250e+14 1.468127489025195764e+01 1.808690034792469925e+00 2.033282916185410905e+00
6.112482544826588750e+14 1.468806609511156402e+01 1.974714332336693134e+00 2.246614018485912023e+00
6.589776620226696250e+14 1.466640409470167761e+01 2.127511965841339947e+00 2.448302572934704546e+00
7.104340271898206250e+14 1.461809862452007103e+01 2.262713945224126721e+00 2.631531070711491171e+00
7.659083700044812500e+14 1.454570324866358533e+01 2.379958315132786328e+00 2.794503615095037308e+00
8.257144348270125000e+14 1.445408472478230344e+01 2.477610758639227750e+00 2.933513108095215483e+00
8.901904647911132500e+14 1.434545503906388397e+01 2.558630926932591976e+00 3.051425635463187458e+00
9.597011147940441250e+14 1.422483547801193637e+01 2.623422638238310789e+00 3.147661654111925777e+00
1.034639513862972500e+15 1.409534974429999998e+01 2.674026666874180336e+00 3.224225310181774606e+00
1.115429488561485375e+15 1.395844854309958372e+01 2.712622864209322415e+00 3.283606580359754723e+00
1.202527960011120000e+15 1.381723922788953374e+01 2.740590020709769536e+00 3.327287720853139952e+00
1.296427528084662500e+15 1.367358426273179894e+01 2.759489093284768213e+00 3.357204101029878984e+00
1.397659257386552500e+15 1.352835903724835198e+01 2.770759025493173766e+00 3.375258178722543967e+00
1.506795680776967000e+15 1.338259423735017073e+01 2.775533793062609167e+00 3.382989906467664287e+00
1.624454037426510500e+15 1.323747821667889646e+01 2.774803223204688862e+00 3.381799618603847701e+00
1.751299763714871500e+15 1.309371071526422980e+01 2.769425910722855377e+00 3.372949368595131059e+00
1.888050256716799250e+15 1.295183358806202456e+01 2.760146385147905779e+00 3.357567672379158097e+00
2.035478931560424500e+15 1.281223253290116659e+01 2.747585282128888640e+00 3.336622967272060869e+00
2.194419595604986250e+15 1.267539235731615399e+01 2.732300322295393880e+00 3.311008719096778741e+00
2.365771164176847500e+15 1.254157936599193235e+01 2.714740912300464437e+00 3.281461838262067054e+00
2.550502744534441000e+15 1.241094797524508664e+01 2.695288047536731568e+00 3.248619339165274678e+00
2.749659116815342500e+15 1.228375862651191319e+01 2.674308486293375697e+00 3.213106544426497013e+00
2.964366642963882000e+15 1.216018104383280196e+01 2.652081005925568835e+00 3.175409366364945640e+00
3.195839637058217500e+15 1.204041493348113079e+01 2.628881949878102198e+00 3.136012793947736910e+00
3.445387233065297000e+15 1.192438954830740983e+01 2.604898974838783410e+00 3.095254257874366477e+00
3.714420788865476000e+15 1.181224420875971681e+01 2.580350433389708709e+00 3.053525451834129267e+00
4.004461868421440000e+15 1.170418547410868193e+01 2.555403735540371812e+00 3.011131061918997265e+00
4.317150847235925000e+15 1.160022056286875447e+01 2.530231150161418974e+00 2.968381606910839299e+00
4.654256189767862000e+15 1.150036900871986312e+01 2.504923767690862668e+00 2.925450748994318229e+00
5.017684451276867000e+15 1.140473075165158967e+01 2.479648883124626391e+00 2.882636922506923050e+00
5.409491060663205000e+15 1.131323087200511601e+01 2.454465788253893610e+00 2.840055670111507613e+00
5.831891945287350000e+15 1.122608717134280276e+01 2.429512114556607649e+00 2.797949686771854516e+00
6.287276063515244000e+15 1.114308779225583912e+01 2.404829227167947447e+00 2.756398910487564358e+00
6.778218915869165000e+15 1.106443054376702761e+01 2.380525041005240094e+00 2.715592278784923153e+00
7.307497111198733000e+15 1.098999860233892356e+01 2.356638831608718121e+00 2.675600220630789838e+00
7.878104070253449000e+15 1.091987909026465253e+01 2.333246945342524192e+00 2.636553527522191853e+00
8.493266955470998000e+15 1.085405428130166960e+01 2.310406973268341879e+00 2.598548825313761412e+00
9.156464922730438000e+15 1.079247834746647783e+01 2.288153837166114979e+00 2.561643660846991910e+00
