# rho_c radius mass mb
1.628275304083516875e+14 2.658433290063519294e+01 1.368219172965041142e-01 1.368881754292056441e-01
1.767836603091479688e+14 2.063185864744673026e+01 1.712202298492835895e-01 1.718765426087923431e-01
1.919359857262640625e+14 1.877357833857490022e+01 1.948076895076880366e-01 1.959827599885594351e-01
2.083870339164276562e+14 1.743517716432477016e+01 2.221877567432019862e-01 2.240703626795901293e-01
2.262481198623097500e+14 1.646936515042903437e+01 2.527486886894628748e-01 2.555502943799778381e-01
2.456400994783524062e+14 1.576941933074398783e+01 2.854869889349154199e-01 2.894212153291741418e-01
2.666941873747108125e+14 1.524380726721249957e+01 3.202297177132661377e-01 3.255316644658036718e-01
2.895528447126584375e+14 1.483892968808223856e+01 3.565367199430130585e-01 3.634495233598988850e-01
3.143707431590730000e+14 1.451365932214330456e+01 3.946325098169679024e-01 4.034353315107784832e-01
3.413158114625399375e+14 1.424408439182794339e+01 4.344750111515537916e-01 4.454751196646951628e-01
3.705703717326659375e+14 1.401370707226474899e+01 4.761009373348069618e-01 4.896398559758996516e-01
4.023323731111636875e+14 1.381133126217655693e+01 5.194748556863222344e-01 5.359276899697401619e-01
4.368167311822668125e+14 1.362919250811738081e+01 5.644784757178833434e-01 5.842495189885393847e-01
4.742567821855105625e+14 1.346126342030276035e+01 6.110254114655988555e-01 6.345512196453444442e-01
5.149058618707181250e+14 1.330323877796320886e+01 6.589373904501568679e-01 6.866795530482729948e-01
5.590390196784140000e+14 1.315166140622175384e+01 7.080108938670761631e-01 7.404521513955536482e-01
6.069548798445617500e+14 1.300374127888481723e+01 7.580162778964613102e-01 7.956554321228774818e-01
6.589776620226695000e+14 1.285756471788081967e+01 8.086956189097034287e-01 8.520393467630402728e-01
7.154593750956798750e+14 1.271148937190504569e+01 8.597123294506936464e-01 9.092612368629897635e-01
7.767821990219318750e+14 1.256423234150134860e+01 9.107473190075895397e-01 9.669886207640953080e-01
8.433610708318076250e+14 1.241491260135833130e+01 9.614433943383589032e-01 1.024835691885657152e+00
9.156464922730437500e+14 1.226278598590366897e+01 1.011408241729291335e+00 1.082365446935581454e+00
9.941275781024677500e+14 1.210739980205966937e+01 1.060263321227664646e+00 1.139141698877361497e+00
1.079335365650232625e+15 1.194850068189074577e+01 1.107620143973723215e+00 1.194701849516644820e+00
1.171846408050501250e+15 1.178600643011236215e+01 1.153112451373665914e+00 1.248592702989140601e+00
1.272286675451962000e+15 1.161996615695531077e+01 1.196390185130230099e+00 1.300363943321817484e+00
1.381335790605458250e+15 1.145060534621730142e+01 1.237127449129445944e+00 1.349577978513763599e+00
1.499731627488581000e+15 1.127815737562006859e+01 1.275041033789153566e+00 1.395833133623895606e+00
1.628275304083517250e+15 1.110306684974013969e+01 1.309899720114326760e+00 1.438776489828964333e+00
1.767836603091479500e+15 1.092574872370388483e+01 1.341509443944917779e+00 1.478090178476731964e+00
1.919359857262640750e+15 1.074677849413629716e+01 1.369735027194622035e+00 1.513519117183357299e+00
2.083870339164276250e+15 1.056667927636003235e+01 1.394499698770957918e+00 1.544875731049849099e+00
2.262481198623097500e+15 1.038605391202200856e+01 1.415762711290101450e+00 1.572015051669820362e+00
2.456400994783524500e+15 1.020546480818358148e+01 1.433547989948761536e+00 1.594873992777079419e+00
2.666941873747107500e+15 1.002552908703385626e+01 1.447916966695955487e+00 1.613440779086045218e+00
2.895528447126585000e+15 9.846802218333770895e+00 1.458972515617351640e+00 1.627762701129165768e+00
3.143707431590729500e+15 9.669809875477199057e+00 1.466850404366550453e+00 1.637937890166173860e+00
3.413158114625400000e+15 9.495076818895212156e+00 1.471713912455771212e+00 1.644109980516391678e+00
3.705703717326659000e+15 9.323056799192544375e+00 1.473748229707180446e+00 1.646462168523693093e+00
4.023323731111637000e+15 9.154199279049397120e+00 1.473153149715331844e+00 1.645208433212197674e+00
4.368167311822666500e+15 8.988864604601650043e+00 1.470137994323609698e+00 1.640586751796661025e+00
4.742567821855106000e+15 8.824742846908637972e+00 1.464810683175416406e+00 1.632696663292183104e+00
5.149058618707181000e+15 8.668917391839418229e+00 1.457641147952671856e+00 1.622182958958958032e+00
5.590390196784140000e+15 8.512423119102223268e+00 1.448453405042116504e+00 1.608761400424070231e+00
6.069548798445618000e+15 8.358177360214224194e+00 1.437530224124818901e+00 1.592839187816671220e+00
6.589776620226694000e+15 8.206382950057504289e+00 1.425051295212432345e+00 1.574681085039563166e+00
7.154593750956800000e+15 8.057293975411116804e+00 1.411197456495647540e+00 1.554558478526182119e+00
7.767821990219319000e+15 7.911176608396019105e+00 1.396135436160002463e+00 1.532726195579183992e+00
8.433610708318076000e+15 7.768271031630098911e+00 1.380033764588306289e+00 1.509444275121687662e+00
9.156464922730438000e+15 7.628862012560007066e+00 1.363045822720959643e+00 1.484949774042804593e+00
