# rho_c radius mass mb
1.705013554992110312e+14 2.628969115522018996e+01 1.378343177848455059e-01 1.378980838439938794e-01
1.849413223122117500e+14 2.067868933383415353e+01 1.693607848904592206e-01 1.699336492687963107e-01
2.006042274470225938e+14 1.818460351691200572e+01 2.020092955307821458e-01 2.032736108959512233e-01
2.175936430349594375e+14 1.679458893648310536e+01 2.358585847855841078e-01 2.380037824119404233e-01
2.360219128568921875e+14 1.588830099739791990e+01 2.725924422175285966e-01 2.758740862031362484e-01
2.560108952248959375e+14 1.523019128637448283e+01 3.152431836360340967e-01 3.200740426042678055e-01
2.776927687794508125e+14 1.475878201265341083e+01 3.627178882408465532e-01 3.695608413358286715e-01
3.012109065305850000e+14 1.442776508513280476e+01 4.127155531854913018e-01 4.220082303790236300e-01
3.267208239226237500e+14 1.418210320591445495e+01 4.661711660273168412e-01 4.784626610660360768e-01
3.543912071916926250e+14 1.399000384049335111e+01 5.241071025851370413e-01 5.400954792988209574e-01
3.844050288160667500e+14 1.383928120729860289e+01 5.850515057458237633e-01 6.054368652889057234e-01
4.169607574353636250e+14 1.371471542458661652e+01 6.489405724393461083e-01 6.745104095006821954e-01
4.522736702392630000e+14 1.360661152969354859e+01 7.158318297436946365e-01 7.474757031152701181e-01
4.905772765040191250e+14 1.350879727364207916e+01 7.843514587741727828e-01 8.229221477705601639e-01
5.321248616900095625e+14 1.341512506983160158e+01 8.547623481676221990e-01 9.012236954396553035e-01
5.771911623107802500e+14 1.332028041241946781e+01 9.278074283868813499e-01 9.833141379476328936e-01
6.260741826487830000e+14 1.323035191872117977e+01 9.966296882142520186e-01 1.061499642555626011e+00
6.790971653309752500e+14 1.315204693940142455e+01 1.050455555249390605e+00 1.123245554619658471e+00
7.366107287948592500e+14 1.306980990110712071e+01 1.097803393766138225e+00 1.178016456035228199e+00
7.989951857791165000e+14 1.298073613133056625e+01 1.140037448971116030e+00 1.227254075522445698e+00
8.666630581700265000e+14 1.287594950473572020e+01 1.180482710333357721e+00 1.274769702559990447e+00
9.400618048332855000e+14 1.275578826374228392e+01 1.219034356003689368e+00 1.320417222430191773e+00
1.019676780469212625e+15 1.262025232780392692e+01 1.255842533788824156e+00 1.364352648519520761e+00
1.106034445056993000e+15 1.246924161840148315e+01 1.291265580607199759e+00 1.406990169380659905e+00
1.199705845110657750e+15 1.232470899651856477e+01 1.320889092165141498e+00 1.442937539251162082e+00
1.301310389766850250e+15 1.218334902985496626e+01 1.345687139776051477e+00 1.473252138229810493e+00
1.411519946674057250e+15 1.202980617139332331e+01 1.368216389104448316e+00 1.500989392202867645e+00
1.531063284767673250e+15 1.186049488726476042e+01 1.388943785415662768e+00 1.526695360035134286e+00
1.660730893309068500e+15 1.167793324942558897e+01 1.407730113398710570e+00 1.550170705753749711e+00
1.801380209054942500e+15 1.148502490990077618e+01 1.424531232116162727e+00 1.571329804156881726e+00
1.953941286121981250e+15 1.128543953839026059e+01 1.439254507210630862e+00 1.590020240950622998e+00
2.119422946039247000e+15 1.108394879170208114e+01 1.451738744218382005e+00 1.605994509250512126e+00
2.298919448655970500e+15 1.088281206739685558e+01 1.461929024588605852e+00 1.619135634290498116e+00
2.493617728016616500e+15 1.068444459768078403e+01 1.469752045406164331e+00 1.629298654653772438e+00
2.704805241051002000e+15 1.049077685145053707e+01 1.475187305214899380e+00 1.636406695972672853e+00
2.933878480979512000e+15 1.030480449510903718e+01 1.478237648504895807e+00 1.640414505837281656e+00
3.182352211728925500e+15 1.012778577614769127e+01 1.478989062045729996e+00 1.641388554083867968e+00
3.451869484422149500e+15 9.960170642761958959e+00 1.477590208552533646e+00 1.639487890949924420e+00
3.744212502176612000e+15 9.803458492713575723e+00 1.474249907976071361e+00 1.634961157432291978e+00
4.061314405055634500e+15 9.658928468686504232e+00 1.469250996661656705e+00 1.628166968681137527e+00
4.405272053101644500e+15 9.528816392660985457e+00 1.462972887595972438e+00 1.619605465262177191e+00
4.778359891979978000e+15 9.414938595575415903e+00 1.455875785573277570e+00 1.609899355159689627e+00
5.183044992920914000e+15 9.318805698984370167e+00 1.448468890784434082e+00 1.599746864768707644e+00
5.622003366412637000e+15 9.240948502419930932e+00 1.441268280818688963e+00 1.589861556478034066e+00
6.098137657520676000e+15 9.180790530249682391e+00 1.434716090482393236e+00 1.580857506145992186e+00
6.614596339845440000e+15 9.135717243930162823e+00 1.428998812503385674e+00 1.572996841917769784e+00
7.174794535039295000e+15 9.046756468702449538e+00 1.415561126400955549e+00 1.554519116247950361e+00
7.782436595553857000e+15 8.951198204712849105e+00 1.399398902959195778e+00 1.532301638710984681e+00
8.441540599947531000e+15 8.856031135487574701e+00 1.382098274502919777e+00 1.508535524863461985e+00
9.156464922730438000e+15 8.760621768750576521e+00 1.363843635437979263e+00 1.483485928262795683e+00
