# rho_c radius mass mb
1.451201892304444375e+14 1.871740593077236881e+01 2.200719606031019959e-01 2.214144539343848861e-01
1.579292343509890000e+14 1.741650184439296467e+01 2.721654724323784857e-01 2.748317574135563657e-01
1.718688708645726875e+14 1.672283373642807902e+01 3.286082639437121200e-01 3.330819912991636600e-01
1.870388905110156562e+14 1.632031592748238324e+01 3.902021502115462503e-01 3.970770840656006606e-01
2.035478931560424375e+14 1.607905490202369236e+01 4.573280346337003088e-01 4.673211394604826485e-01
2.215140642412201875e+14 1.593324661097081041e+01 5.292349389725264919e-01 5.431446497032677012e-01
2.410660208555777188e+14 1.584242596726798524e+01 6.072787631412269738e-01 6.261163555204792841e-01
2.623437324858037500e+14 1.578533759050062280e+01 6.918192690127569211e-01 7.168001264639829451e-01
2.854995230365355625e+14 1.574841839637632823e+01 7.831446869728100335e-01 8.157180299653371547e-01
3.106991612940479375e+14 1.572150742514853583e+01 8.812765301570785192e-01 9.231437214429375482e-01
3.381230476398074375e+14 1.569841548581787549e+01 9.860421621228241396e-01 1.039172868099706548e+00
3.679675055093933125e+14 1.567241399784623290e+01 1.097132065065394846e+00 1.163774913550970735e+00
4.004461868421438750e+14 1.563986025146713210e+01 1.213531304707172076e+00 1.296143098059798104e+00
4.357916015829273750e+14 1.561420381044465699e+01 1.276709230404826645e+00 1.368800114085173325e+00
4.742567821855106250e+14 1.557473756385160080e+01 1.329873159282747075e+00 1.430407262481916852e+00
5.161170950334495000e+14 1.551884524689470979e+01 1.376284604171102322e+00 1.484559417388924940e+00
5.616722117461896875e+14 1.544554327739369448e+01 1.416534239673329143e+00 1.531820930019147209e+00
6.112482544826588750e+14 1.535616414077224157e+01 1.451166887068785050e+00 1.572727099541274320e+00
6.652001306002512500e+14 1.525202103236120976e+01 1.480659210509386758e+00 1.607754016789071150e+00
7.239140733826745000e+14 1.513430212006601572e+01 1.505442813747621011e+00 1.637340350561518720e+00
7.878104070253445000e+14 1.500432827255498935e+01 1.525908465562362926e+00 1.661890693449320278e+00
8.573465556724360000e+14 1.480593133879280998e+01 1.549088795754417491e+00 1.689849029222817434e+00
9.330203180468298750e+14 1.456398712152530983e+01 1.573189877876431719e+00 1.719115301037699606e+00
1.015373431115535125e+15 1.430534733368082634e+01 1.597016323752185940e+00 1.748268062800604428e+00
1.104995448302325375e+15 1.404587232638293237e+01 1.619574693153922995e+00 1.776086434891716026e+00
1.202527960011120250e+15 1.377945123796753180e+01 1.641226019083481535e+00 1.803006034657140377e+00
1.308669186674208750e+15 1.350767428480493670e+01 1.661703510123011096e+00 1.828685843296125491e+00
1.424178977206232500e+15 1.323229585972587863e+01 1.680699045050631391e+00 1.852722256996145678e+00
1.549884248647117750e+15 1.295479632621717592e+01 1.697962126770450553e+00 1.874769483387216384e+00
1.686684905935521250e+15 1.267614477669339301e+01 1.713265233727317538e+00 1.894498827677086883e+00
1.835560284191554750e+15 1.239738431400187402e+01 1.726384150443049714e+00 1.911577245932563951e+00
1.997576159628111250e+15 1.212003848259398353e+01 1.737140030788112188e+00 1.925715229575611920e+00
2.173892379280840500e+15 1.187018808553859195e+01 1.744539762463753307e+00 1.935527100618470220e+00
2.365771164176847500e+15 1.162699452276041789e+01 1.749003813950317454e+00 1.941483994792063905e+00
2.574586145383248000e+15 1.138754717058176347e+01 1.750497607139947842e+00 1.943468706482605723e+00
2.801832197623266500e+15 1.115145354306586789e+01 1.749087269669754807e+00 1.941499555206918748e+00
3.049136140857251500e+15 1.091872313849283316e+01 1.744901201019877668e+00 1.935685745320530282e+00
3.318268386439592000e+15 1.068938938583553622e+01 1.738093361744671217e+00 1.926181416394443735e+00
3.611155611224609000e+15 1.046391558577413683e+01 1.728857141476159320e+00 1.913200974312069924e+00
3.929894550353417500e+15 1.023182239052577280e+01 1.716756770640901708e+00 1.896078698097967363e+00
4.276767007462223000e+15 1.002581195306181705e+01 1.703784875259166443e+00 1.877605071590404018e+00
4.654256189767862000e+15 9.813256524566851269e+00 1.688387655099127915e+00 1.855568284474992113e+00
5.065064484970963000e+15 9.605955708899047707e+00 1.671369465056290249e+00 1.831127817070890673e+00
5.512132807238905000e+15 9.404087371685164953e+00 1.652914408641410704e+00 1.804574638085705729e+00
5.998661650763491000e+15 9.208119238710064991e+00 1.633212171020290704e+00 1.776212776706724394e+00
6.528134001612593000e+15 9.018373479510405133e+00 1.612450994855042730e+00 1.746343442643554011e+00
7.104340271898207000e+15 8.835143860028965790e+00 1.590809667684928375e+00 1.715256041730914172e+00
7.731405434760849000e+15 8.658461200552709514e+00 1.568461838210802428e+00 1.683230868957438231e+00
8.413818554425526000e+15 8.488824664832245404e+00 1.545559227683044989e+00 1.650508996893346625e+00
9.156464922730438000e+15 8.326452884670006327e+00 1.522288093567585543e+00 1.617382003564517223e+00
