# rho_c radius mass mb
2.353573882245734062e+14 2.732030816505284676e+01 1.276596752366419285e-01 1.272300198610438193e-01
2.536160975124871875e+14 2.214209178718888538e+01 1.442697639655691200e-01 1.439801739488157650e-01
2.732912928830151875e+14 1.890534749889133082e+01 1.646418618937685041e-01 1.645872161180462756e-01
2.944928634192575625e+14 1.675592204969347421e+01 1.893924682453274611e-01 1.897148783605964451e-01
3.173392232514240625e+14 1.528189689753353520e+01 2.191216095542425357e-01 2.200270738553124494e-01
3.419579729185107500e+14 1.425355562293250955e+01 2.543119271457796593e-01 2.560891903169247863e-01
3.684866120375246875e+14 1.352733404705605835e+01 2.955307983895696378e-01 2.985793088469276269e-01
3.970733072606277500e+14 1.301123754185946702e+01 3.434877405267774964e-01 3.483536027913451405e-01
4.278777198093615000e+14 1.264779421874636434e+01 3.985057790067579875e-01 4.059019114459544997e-01
4.610718972078633125e+14 1.239497326052811310e+01 4.606786815987480854e-01 4.715060961951374474e-01
4.968412341955443125e+14 1.222155781527990293e+01 5.302642170494378249e-01 5.456610552080677357e-01
5.353855081860795000e+14 1.210468020691619628e+01 6.072239259186651417e-01 6.285850003790058871e-01
5.769199950559120000e+14 1.202720856363173851e+01 6.907895152687585361e-01 7.197304172589664706e-01
6.216766714941267500e+14 1.197540403211997706e+01 7.807309977381148292e-01 8.191554394398008476e-01
6.699055106290096250e+14 1.193882899269160625e+01 8.755849782754190347e-01 9.255486816101063940e-01
7.218758781675690000e+14 1.190902630122092809e+01 9.745966943722415010e-01 1.038367049981004042e+00
7.778780368456832500e+14 1.187966807823885773e+01 1.075786879714097699e+00 1.155619225073061251e+00
8.382247675914635000e+14 1.184570563660512121e+01 1.178076710695747931e+00 1.276274134399999260e+00
9.032531164562883750e+14 1.180367529932447646e+01 1.279308598558170029e+00 1.397930622225680430e+00
9.733262770703962500e+14 1.175118667377385151e+01 1.378009500543664334e+00 1.518863870677615635e+00
1.048835619136847000e+15 1.168666598139287949e+01 1.472790297146721494e+00 1.637332228197354134e+00
1.130202874293314750e+15 1.160970113827187511e+01 1.562083632612395467e+00 1.751238126446438503e+00
1.217882491550095500e+15 1.152069601668844356e+01 1.644495724027979833e+00 1.858543333407466358e+00
1.312364175459823500e+15 1.141987597430983570e+01 1.719582331737619540e+00 1.958328226928821802e+00
1.414175621194976750e+15 1.130840150591734705e+01 1.786660766659051713e+00 2.049294830969577319e+00
1.523885461809014000e+15 1.118775975564598646e+01 1.845381244126441445e+00 2.130524673948518188e+00
1.642106444142059000e+15 1.105947694360898126e+01 1.895716315307803157e+00 2.201508772822700521e+00
1.769498851109078000e+15 1.092516567703580499e+01 1.937860257081772453e+00 2.262050129729877401e+00
1.906774189484560500e+15 1.078628218625795654e+01 1.972209498404258854e+00 2.312268457069745153e+00
2.054699163780570500e+15 1.064441553452894240e+01 1.999252343648291186e+00 2.352463127808939625e+00
2.214099958412909250e+15 1.050088828875305147e+01 2.019581544839550435e+00 2.383145469083189916e+00
2.385866852071964000e+15 1.035701075313126829e+01 2.033824728284428396e+00 2.404943606007640344e+00
2.570959190070230500e+15 1.021379262083910966e+01 2.042640322821049459e+00 2.418598413021563864e+00
2.770410742437862500e+15 1.007225456893565507e+01 2.046668140978588291e+00 2.424886022717414935e+00
2.985335477692062500e+15 9.933135009838299112e+00 2.046526903717858392e+00 2.424608271620510180e+00
3.216933784527722000e+15 9.796987142719816077e+00 2.042790959631444636e+00 2.418548332864936867e+00
3.466499176178458000e+15 9.664501258369959658e+00 2.035997690842171970e+00 2.407474927947914178e+00
3.735425514892930000e+15 9.536036699447450360e+00 2.026633150204769418e+00 2.392111220783900816e+00
4.025214796876320500e+15 9.411785128920671539e+00 2.015121575966880130e+00 2.373108744298160655e+00
4.337485541177093500e+15 9.292237756064286813e+00 2.001774483086980361e+00 2.350955172317501951e+00
4.673981829372278000e+15 9.173947585627049151e+00 1.986617193674775628e+00 2.325683941768891039e+00
5.036583046539377000e+15 9.057698091347775815e+00 1.969947955207525414e+00 2.297803597491575367e+00
5.427314377919762000e+15 8.943738171973267370e+00 1.951983177567863104e+00 2.267699346036221364e+00
5.848358119899069000e+15 8.832312796695134693e+00 1.932946556656846226e+00 2.235773213901169232e+00
6.302065868478249000e+15 8.723690362560260425e+00 1.913048701917120065e+00 2.202408974631521854e+00
6.790971653309754000e+15 8.618108605192306371e+00 1.892484917612348383e+00 2.167964771414491842e+00
7.317806090654598000e+15 8.515800124379589775e+00 1.871437932173810603e+00 2.132775089838137017e+00
7.885511634306773000e+15 8.417038046531448714e+00 1.850076414365913857e+00 2.097144586469164906e+00
8.497259009663806000e+15 8.321951237351235875e+00 1.828544431219180533e+00 2.061340898156634349e+00
9.156464922730438000e+15 8.230702628004477717e+00 1.806979628200449994e+00 2.025611086372792968e+00
