# rho_c radius mass mb
2.702264376360918125e+14 2.655632773596751761e+01 1.213894114954227610e-01 1.212090110271971805e-01
2.903703886152358125e+14 2.265706141417996733e+01 1.314201664457726459e-01 1.313371879926893415e-01
3.120159645449206875e+14 1.954605509188941070e+01 1.448199809922527670e-01 1.448965780219053090e-01
3.352751036191196875e+14 1.712389577799619289e+01 1.626577805131387555e-01 1.629979421854534649e-01
3.602680884318274375e+14 1.530099117882142679e+01 1.858609821972531384e-01 1.866295715558341228e-01
3.871241680079265000e+14 1.397848031206706665e+01 2.151196937868601611e-01 2.165639991808855913e-01
4.159822262031621875e+14 1.303867925161281960e+01 2.509700370228003519e-01 2.534451713251163474e-01
4.469914999297996250e+14 1.238318010760216836e+01 2.938239250831252147e-01 2.978210776238175983e-01
4.803123509222020000e+14 1.193317403756366879e+01 3.440001096180527740e-01 3.501775336758619073e-01
5.161170950334493750e+14 1.162932271355314207e+01 4.016087832449022343e-01 4.108180867809476666e-01
5.545908933516322500e+14 1.142841940644579601e+01 4.670023100236886937e-01 4.803396073602358429e-01
5.959327097441482500e+14 1.129978131241267647e+01 5.414130064821908173e-01 5.603439329333196328e-01
6.403563397818600000e+14 1.122213319649872076e+01 6.258832135533767271e-01 6.523407147614953550e-01
6.880915163641051250e+14 1.118188084823563067e+01 7.210274616475804699e-01 7.574990373228096541e-01
7.393850977621975000e+14 1.116774361124506854e+01 8.263089622285079150e-01 8.758224871166814252e-01
7.945023442252872500e+14 1.116922106580298646e+01 9.401194162050895420e-01 1.006144455908696056e+00
8.537282897504323750e+14 1.117668008324485562e+01 1.060054148472362900e+00 1.146333515102646583e+00
9.173692161108673750e+14 1.118230061007429299e+01 1.182885910372618365e+00 1.293134841616646602e+00
9.857542367652820000e+14 1.118005956183520411e+01 1.305971834202326765e+00 1.443764308738367808e+00
1.059236998839155500e+15 1.116533485946788140e+01 1.426176207549016528e+00 1.594569104886497835e+00
1.138197511979790000e+15 1.113569992434117495e+01 1.540599619331753267e+00 1.741841691821830906e+00
1.223044113542813000e+15 1.108961878930143463e+01 1.648500059360163528e+00 1.884403603349314116e+00
1.314215580272930500e+15 1.102664640672496787e+01 1.748241789499307197e+00 2.019739431797145102e+00
1.412183397399308000e+15 1.094700672199164870e+01 1.839467101706975694e+00 2.146909629292880872e+00
1.517454196880007250e+15 1.085191889984112024e+01 1.921062682988562420e+00 2.263800058195104548e+00
1.630572377404637750e+15 1.074367616473275788e+01 1.992201301548974790e+00 2.368519441539210124e+00
1.752122919704345750e+15 1.062631201621813126e+01 2.051668903545702971e+00 2.458392131346239573e+00
1.882734411728267250e+15 1.050388141711064272e+01 2.099410512115940097e+00 2.532355990973371718e+00
2.023082299330869250e+15 1.038046506054258522e+01 2.135832901137368900e+00 2.590084764705232967e+00
2.173892379280840000e+15 1.025889488187028675e+01 2.162246682290197786e+00 2.632818045588304123e+00
2.335944552655304500e+15 1.013987858365874750e+01 2.180287539908115857e+00 2.662535083067658181e+00
2.510076858029714500e+15 1.002535514155359486e+01 2.191299437197593125e+00 2.680959183529150636e+00
2.697189805320706000e+15 9.912645907583053528e+00 2.196786420104724691e+00 2.690249910049534954e+00
2.898251032694006500e+15 9.804699995709441396e+00 2.197641276165708479e+00 2.691677496571321271e+00
3.114300310620186500e+15 9.698270795537659694e+00 2.194727955433032118e+00 2.686554053834727007e+00
3.346454918956283000e+15 9.596210983475296885e+00 2.188782170379364178e+00 2.676036779770599061e+00
3.595915424860415000e+15 9.496594973367045611e+00 2.180289404758691596e+00 2.660909869254521443e+00
3.863971891419338500e+15 9.401217870829848167e+00 2.169862103353509930e+00 2.642231227428927465e+00
4.152010549096353000e+15 9.309334308112564571e+00 2.157844861271307035e+00 2.620610384205091403e+00
4.461520964500338000e+15 9.210760685733903941e+00 2.142859231826287569e+00 2.593575604881822816e+00
4.794103743548579000e+15 9.134852981468405630e+00 2.129959170380847144e+00 2.570279233232549920e+00
5.151478808859638000e+15 9.049622623039837777e+00 2.114213467381738543e+00 2.541841286692434032e+00
5.535494294182041000e+15 8.965959378523049139e+00 2.097507044069647719e+00 2.511688911613129349e+00
5.948136101855568000e+15 8.884009738510203036e+00 2.080016269519600502e+00 2.480162863192747480e+00
6.391538172730709000e+15 8.804016398262888288e+00 2.061905536355501667e+00 2.447582426514728127e+00
6.867993521656269000e+15 8.726134482847427876e+00 2.043331290860788574e+00 2.414249397805487973e+00
7.379966095604170000e+15 8.650593978758857716e+00 2.024441620446695733e+00 2.380446133737012637e+00
7.930103515754727000e+15 8.577473070905764274e+00 2.005357382970762270e+00 2.346410092717957863e+00
8.521250769436930000e+15 8.507005106852082221e+00 1.986209626389992433e+00 2.312380670690938000e+00
9.156464922730438000e+15 8.439221921361324874e+00 1.967090888048080632e+00 2.278541749632116087e+00
