# mass radius
8.000000000000000444e-01 1.379909499999999944e+01
8.120000000000000551e-01 1.380072700000000019e+01
8.239999999999999547e-01 1.380247400000000013e+01
8.369999999999999662e-01 1.380432000000000059e+01
8.489999999999999769e-01 1.380624699999999905e+01
8.609999999999999876e-01 1.380824400000000018e+01
8.729999999999999982e-01 1.381029600000000102e+01
8.860000000000000098e-01 1.381239200000000089e+01
8.980000000000000204e-01 1.381451900000000066e+01
9.100000000000000311e-01 1.381666799999999995e+01
9.220000000000000417e-01 1.381882799999999989e+01
9.340000000000000524e-01 1.382099000000000011e+01
9.469999999999999529e-01 1.382314500000000024e+01
9.589999999999999636e-01 1.382528600000000019e+01
9.709999999999999742e-01 1.382740300000000033e+01
9.829999999999999849e-01 1.382949100000000087e+01
9.959999999999999964e-01 1.383154199999999889e+01
1.008000000000000007e+00 1.383354900000000143e+01
1.020000000000000018e+00 1.383550699999999978e+01
1.032000000000000028e+00 1.383740899999999918e+01
1.044000000000000039e+00 1.383925100000000086e+01
1.056999999999999940e+00 1.384102700000000041e+01
1.068999999999999950e+00 1.384273199999999981e+01
1.080999999999999961e+00 1.384436100000000103e+01
1.092999999999999972e+00 1.384591100000000097e+01
1.104999999999999982e+00 1.384737600000000057e+01
1.118000000000000105e+00 1.384875200000000106e+01
1.129999999999999893e+00 1.385003600000000112e+01
1.141999999999999904e+00 1.385122300000000095e+01
1.153999999999999915e+00 1.385231100000000026e+01
1.167000000000000037e+00 1.385329500000000102e+01
1.179000000000000048e+00 1.385417200000000015e+01
1.191000000000000059e+00 1.385493899999999989e+01
1.203000000000000069e+00 1.385559300000000071e+01
1.215000000000000080e+00 1.385613099999999953e+01
1.227999999999999980e+00 1.385654900000000112e+01
1.239999999999999991e+00 1.385684399999999883e+01
1.252000000000000002e+00 1.385701200000000100e+01
1.264000000000000012e+00 1.385702500000000015e+01
1.276999999999999913e+00 1.385684300000000135e+01
1.288999999999999924e+00 1.385642400000000052e+01
1.300999999999999934e+00 1.385574000000000083e+01
1.312999999999999945e+00 1.385475800000000035e+01
1.324999999999999956e+00 1.385345500000000030e+01
1.338000000000000078e+00 1.385180600000000162e+01
1.350000000000000089e+00 1.384979000000000049e+01
1.362000000000000099e+00 1.384738600000000019e+01
1.374000000000000110e+00 1.384457599999999999e+01
1.387000000000000011e+00 1.384134200000000092e+01
1.399000000000000021e+00 1.383766599999999869e+01
1.411000000000000032e+00 1.383353499999999947e+01
1.423000000000000043e+00 1.382893300000000103e+01
1.435000000000000053e+00 1.382384700000000066e+01
1.447999999999999954e+00 1.381826200000000071e+01
1.459999999999999964e+00 1.381216500000000202e+01
1.471999999999999975e+00 1.380554600000000143e+01
1.483999999999999986e+00 1.379839199999999977e+01
1.495999999999999996e+00 1.379069100000000070e+01
1.508999999999999897e+00 1.378243200000000179e+01
1.520999999999999908e+00 1.377360600000000090e+01
1.532999999999999918e+00 1.376420000000000066e+01
1.544999999999999929e+00 1.375420599999999993e+01
1.558000000000000052e+00 1.374361199999999883e+01
1.570000000000000062e+00 1.373240700000000025e+01
1.582000000000000073e+00 1.372058300000000131e+01
1.594000000000000083e+00 1.370812900000000134e+01
1.606000000000000094e+00 1.369503300000000046e+01
1.618999999999999995e+00 1.368128100000000202e+01
1.631000000000000005e+00 1.366684000000000054e+01
1.643000000000000016e+00 1.365165900000000043e+01
1.655000000000000027e+00 1.363568800000000003e+01
1.667999999999999927e+00 1.361887900000000151e+01
1.679999999999999938e+00 1.360117699999999985e+01
1.691999999999999948e+00 1.358252799999999993e+01
1.703999999999999959e+00 1.356287600000000104e+01
1.715999999999999970e+00 1.354216000000000086e+01
1.729000000000000092e+00 1.352031600000000111e+01
1.741000000000000103e+00 1.349727500000000013e+01
1.752999999999999892e+00 1.347296700000000058e+01
1.764999999999999902e+00 1.344731099999999913e+01
1.778000000000000025e+00 1.342022099999999973e+01
1.790000000000000036e+00 1.339160399999999917e+01
1.802000000000000046e+00 1.336135600000000068e+01
1.814000000000000057e+00 1.332936299999999896e+01
1.826000000000000068e+00 1.329549800000000026e+01
1.838999999999999968e+00 1.325961599999999940e+01
1.850999999999999979e+00 1.322155300000000011e+01
1.862999999999999989e+00 1.318112099999999920e+01
1.875000000000000000e+00 1.313810000000000144e+01
1.887999999999999901e+00 1.309223500000000051e+01
1.899999999999999911e+00 1.304321999999999981e+01
1.911999999999999922e+00 1.299068200000000139e+01
1.923999999999999932e+00 1.293416799999999967e+01
1.935999999999999943e+00 1.287310100000000013e+01
1.949000000000000066e+00 1.280673900000000032e+01
1.961000000000000076e+00 1.273409200000000041e+01
1.973000000000000087e+00 1.265379199999999926e+01
1.985000000000000098e+00 1.256348299999999973e+01
1.997000000000000108e+00 1.245858499999999935e+01
2.009999999999999787e+00 1.232992100000000057e+01
