# radius mass k_2
2.739423201100155936e+01 1.342717051765000835e-01 1.411074289624548745e-03
2.634869512118748958e+01 1.367454529104275007e-01 1.648178497046230923e-03
2.538810923652605211e+01 1.393095773616397359e-01 1.917404767299772488e-03
2.450346341031319497e+01 1.419657903520426812e-01 2.221616029214070441e-03
2.368693743453664169e+01 1.447159220771456756e-01 2.562840901080049808e-03
2.293172533506802679e+01 1.475618759017478521e-01 2.944177487095164629e-03
2.223187351659057498e+01 1.505056458277633791e-01 3.367565594242025260e-03
2.158213543171495630e+01 1.535494132082300123e-01 3.835807797154988825e-03
2.097791579559857311e+01 1.566953164568734846e-01 4.350666406220479558e-03
2.041514745774173889e+01 1.599455753246504519e-01 4.915142526238510182e-03
1.989024293540642674e+01 1.633023074880155801e-01 5.530370944198914965e-03
1.939998011832850011e+01 1.667678903212160835e-01 6.199121909220321573e-03
1.894149910612684806e+01 1.703446069301660371e-01 6.922671944617685320e-03
1.851222473045494965e+01 1.740349283488033805e-01 7.702496593519623722e-03
1.810985831981978933e+01 1.778412276636229250e-01 8.539986283087589239e-03
1.773232002923685258e+01 1.817660399808314065e-01 9.436482044774581121e-03
1.737774073191397406e+01 1.858118365802669258e-01 1.039262349475613724e-02
1.704442444897933839e+01 1.899811603738639776e-01 1.140928089685134227e-02
1.673083796080879893e+01 1.942765446687087227e-01 1.248651376869927901e-02
1.643557857820382395e+01 1.987006513394780072e-01 1.362470602050268494e-02
1.615736994671152615e+01 2.032562008024016154e-01 1.482422791862000357e-02
1.589505142039104513e+01 2.079458734064322800e-01 1.608314677563350142e-02
1.564756049538188876e+01 2.127723513746181683e-01 1.740250586256041759e-02
1.541391971869148136e+01 2.177384667995853895e-01 1.878021223116351640e-02
1.519323471924973390e+01 2.228470164814264076e-01 2.021566994018960187e-02
1.498468496648241199e+01 2.281007810578965789e-01 2.170758959502029628e-02
1.478751617432986443e+01 2.335024812206359657e-01 2.325399333724131185e-02
1.460102610824093894e+01 2.390550515192824688e-01 2.485244390295927169e-02
1.442456835056784747e+01 2.447613907877708439e-01 2.650133535838462839e-02
1.425754672755167718e+01 2.506243530497364591e-01 2.819875419119555540e-02
1.409940752423490018e+01 2.566468015997646068e-01 2.994094098277783750e-02
1.394963631374939972e+01 2.628316827817900325e-01 3.172579089204619757e-02
1.380775590637179562e+01 2.691819119347705347e-01 3.355022555850318416e-02
1.367332242656922148e+01 2.757003545414947188e-01 3.540863404566882422e-02
1.354592221763951443e+01 2.823899004883922981e-01 3.730482163477705226e-02
1.342516828198450440e+01 2.892535344013185128e-01 3.922844364631758451e-02
1.331070299863004713e+01 2.962938513895083115e-01 4.117711300835540794e-02
1.320218979486404187e+01 3.035136646595852916e-01 4.314847068855905826e-02
1.309930234965324125e+01 3.109165958820043207e-01 4.513786665867641074e-02
1.300174910564285291e+01 3.185049732730086403e-01 4.714208645365953326e-02
1.290927128194556062e+01 3.262792316446600505e-01 4.915568432987094116e-02
1.282161032252386867e+01 3.342407942830646350e-01 5.117504890493985298e-02
1.273850837435746364e+01 3.423927729794091768e-01 5.319557934768856522e-02
1.265971901989236947e+01 3.507393131781272322e-01 5.521404057779727426e-02
1.258501481642878161e+01 3.592845892362144800e-01 5.722715354670011856e-02
1.251418493748226446e+01 3.680325085394387519e-01 5.922967507037639467e-02
1.244703622079319594e+01 3.769863414060575790e-01 6.121899750610439173e-02
1.238338058046411128e+01 3.861506658675358250e-01 6.319214526610951455e-02
1.232303822250600156e+01 3.955316525644835823e-01 6.514494843320439710e-02
1.226586069866260331e+01 4.051326871650764994e-01 6.707425048983639559e-02
1.221172740258419154e+01 4.149512986234187850e-01 6.897471908319591227e-02
1.216051838108576177e+01 4.249806767785878070e-01 7.084169387137369267e-02
1.211204889874603374e+01 4.352270197011862130e-01 7.267137390846221956e-02
1.206607923655761994e+01 4.457253098879606634e-01 7.446615827304810253e-02
1.202238564471171145e+01 4.565409139604315603e-01 7.623526877809633229e-02
1.198086777600073738e+01 4.677428192114105876e-01 7.798571334078858996e-02
1.194155528522426302e+01 4.793755841050389432e-01 7.972168214078045878e-02
