# radius mass k_2
2.708823514369109731e+01 1.502321658635386026e-01 -7.057465972479508992e-04
2.597206841473412098e+01 1.534154041396970647e-01 -7.625036162823982833e-05
2.495360381891991253e+01 1.567431714618640060e-01 5.876967704803738026e-04
2.402206600656293745e+01 1.602186658760354487e-01 1.293767384116418931e-03
2.316814782922944360e+01 1.638452795557548691e-01 2.045478408736233541e-03
2.238374957070189453e+01 1.676266747919410993e-01 2.850638220019276626e-03
2.166186694892211761e+01 1.715664341555997729e-01 3.714380616871380564e-03
2.099635104072048009e+01 1.756683461593298856e-01 4.641658038812086252e-03
2.038181151582041650e+01 1.799362629565231519e-01 5.636493306992292063e-03
1.981351015367884827e+01 1.843740234392637345e-01 6.701545207477279005e-03
1.928725392217696566e+01 1.889855217858178449e-01 7.827139827067687225e-03
1.879933103004737660e+01 1.937745982450616300e-01 9.015991917909180198e-03
1.834641527480011192e+01 1.987453443505173833e-01 1.027049258025688853e-02
1.792553851938255249e+01 2.039019038703908937e-01 1.159501860619831931e-02
1.753402419513308530e+01 2.092487970066529146e-01 1.298979124455182897e-02
1.716948208306008539e+01 2.147905035519244166e-01 1.446164980187133499e-02
1.682975656939831666e+01 2.205316890407161556e-01 1.600640327097872101e-02
1.651291124532629695e+01 2.264770179179437237e-01 1.762940591718449926e-02
1.621718437259530532e+01 2.326314989701703251e-01 1.932766247317686467e-02
1.594099593214235355e+01 2.389999373585263709e-01 2.109914789949759312e-02
1.568291698815135327e+01 2.455870066125883655e-01 2.294563853425114763e-02
1.544164966014003149e+01 2.523972660282138292e-01 2.486261110319945913e-02
1.521599331069723959e+01 2.594358477646723227e-01 2.685047913745882212e-02
1.500486101153398089e+01 2.667077233860947194e-01 2.890227078885109976e-02
1.480726127914322632e+01 2.742176754385153847e-01 3.101643289390457886e-02
1.462228206695488453e+01 2.819705894941316737e-01 3.319000457322805742e-02
1.444907140761748821e+01 2.899722104646380028e-01 3.541781914270840381e-02
1.428685515137107309e+01 2.982280844504358042e-01 3.769562452797518837e-02
1.413493412827196671e+01 3.067429499976579432e-01 4.001749182189103665e-02
1.399266462899471364e+01 3.155212596122194957e-01 4.237806293953563785e-02
1.385943375472282568e+01 3.245685439629751312e-01 4.477239742864041333e-02
1.373467567581694482e+01 3.338901131822122337e-01 4.719330823773030398e-02
1.361789420001089113e+01 3.434884608589812705e-01 4.963467985196834409e-02
1.350862231252818901e+01 3.533657083306336877e-01 5.208988522652772957e-02
1.340640768748785483e+01 3.635253123069057124e-01 5.455009433021792975e-02
1.331081926411420646e+01 3.739719585512677469e-01 5.700948438500903076e-02
1.322145634386756186e+01 3.847106226473664403e-01 5.946002327327059439e-02
1.313794564985558289e+01 3.957462895179609808e-01 6.189697369230946766e-02
1.305993992039438290e+01 4.070835841544944156e-01 6.431068016977470325e-02
1.298711909291844968e+01 4.187263107552061658e-01 6.669553323395187305e-02
1.291917579944121286e+01 4.306799800223036212e-01 6.904337927419607057e-02
1.285581807385064579e+01 4.429523796713790706e-01 7.134666903286744633e-02
1.279678284378065278e+01 4.555510682543037482e-01 7.360013651085638153e-02
1.274183299563312843e+01 4.684821339953350594e-01 7.580500087662944697e-02
1.269074831679917637e+01 4.817503486946411173e-01 7.795896786053779781e-02
1.264332452663384920e+01 4.953577036221527563e-01 8.004954032438872658e-02
1.259936563937796095e+01 5.093056745834514398e-01 8.207675965997086875e-02
1.255867937399987611e+01 5.235970013242429166e-01 8.403385023075532478e-02
1.252108304312331022e+01 5.382348097911333618e-01 8.591644882714266629e-02
1.248640323628839965e+01 5.532227432132977851e-01 8.772018055719815743e-02
1.245447497367128342e+01 5.685657429773095517e-01 8.943930728768362259e-02
1.242514562226171648e+01 5.842679725340410579e-01 9.107343480954641080e-02
1.239827266210778767e+01 6.003322042464013242e-01 9.261606234103836321e-02
1.237371984551838544e+01 6.167606097180655667e-01 9.406564629995345372e-02
1.235135686437465274e+01 6.335530571725170867e-01 9.542021149316536055e-02
1.233105761300833159e+01 6.507088035371079160e-01 9.667459032505183736e-02
1.231269889063619694e+01 6.682275548923919395e-01 9.783011843834786558e-02
1.229616251493667001e+01 6.861089196732312878e-01 9.887973150678561196e-02
1.228133542540202150e+01 7.043543853990352765e-01 9.982762904339180510e-02
1.226811180555143999e+01 7.229664963503059649e-01 1.006706679316041464e-01
1.225639390734346001e+01 7.419444431366147841e-01 1.014088027256099256e-01
1.224608483047083496e+01 7.612841566397094972e-01 1.020422789007303099e-01
1.223708638744611221e+01 7.809779731925260426e-01 1.025711786350589488e-01
1.222930037270565151e+01 8.010189661760599433e-01 1.029961208305843895e-01
1.222263306751913170e+01 8.214037659550842418e-01 1.033170574899621857e-01
1.221699743832221330e+01 8.421306530823133851e-01 1.035380733181031354e-01
1.221231278268440690e+01 8.631990520868670913e-01 1.036604427176965326e-01
1.220850352624541735e+01 8.846065442616236618e-01 1.036863992264620976e-01
1.220549581046044452e+01 9.063454508321084901e-01 1.036120370450950290e-01
1.220321231275161900e+01 9.284038331953936574e-01 1.034388447220267182e-01
1.220157351438355420e+01 9.507691464436114348e-01 1.031675827342001944e-01
1.220050554394892650e+01 9.734350646321204836e-01 1.028021370155814129e-01
1.219994438200213516e+01 9.963977567827637660e-01 1.023424647905949031e-01
1.219982717511352277e+01 1.019647787510705950e+00 1.017940952391391540e-01
1.220008645298690020e+01 1.043169353867274607e+00 1.011585833504772131e-01
1.220065370988762332e+01 1.066947875167055138e+00 1.004396049943985375e-01
1.220146914022105555e+01 1.090976114730534352e+00 9.964047318724955637e-02
1.220247953577437627e+01 1.115244974166835101e+00 9.876377738630652547e-02
1.220362806805849054e+01 1.139736985383403400e+00 9.781367864696610681e-02
1.220485095951776877e+01 1.164430403707497508e+00 9.679393230600878695e-02
1.220609095064653715e+01 1.189311732696525681e+00 9.570748916064882039e-02
1.220730124578682840e+01 1.214372593151733293e+00 9.455764452086591609e-02
1.220843626846044572e+01 1.239598373955637101e+00 9.334853988714365836e-02
1.220944470477389032e+01 1.264967188309794821e+00 9.208226546248590716e-02
1.221027624271749978e+01 1.290460314238428330e+00 9.076297691742013507e-02
1.221088857291183771e+01 1.316064306519102223e+00 8.939215266092430390e-02
1.221124169168038165e+01 1.341762488889976179e+00 8.797153134103201377e-02
1.221129243661910913e+01 1.367532501598109018e+00 8.650289686776632680e-02
1.221099769189702222e+01 1.393352256330992134e+00 8.498574764163514816e-02
1.221031835942880761e+01 1.419202979200196335e+00 8.342472434525377567e-02
1.220921906971630477e+01 1.445066780142136409e+00 8.184103442968741760e-02
1.220766587825799121e+01 1.470923857833526194e+00 8.024322088594917912e-02
1.220562489059123301e+01 1.496751336981684943e+00 7.864008161830561561e-02
1.220306155710232332e+01 1.522525167211639108e+00 7.703089125870694887e-02
1.219994404452909009e+01 1.548224565451952861e+00 7.540914969386885991e-02
