# radius mass k_2
2.517688979741728517e+01 1.354585672771189409e-01 1.787683364481136008e-03
2.436153267820159130e+01 1.377742284258067496e-01 2.052446200913719560e-03
2.360830129002903988e+01 1.401547997638397103e-01 2.346999762807963717e-03
2.291122175681721629e+01 1.425998567261667904e-01 2.673236238053979582e-03
2.226500955889509115e+01 1.451090115877733400e-01 3.032075313229905950e-03
2.166496845567342788e+01 1.476819493425172158e-01 3.425605778666106389e-03
2.110691986295007538e+01 1.503184519224318449e-01 3.854979123877269251e-03
2.058712993176128236e+01 1.530184296445145919e-01 4.321219252336729912e-03
2.010223619846582821e+01 1.557819858552457470e-01 4.825960121134864091e-03
1.964921535885215320e+01 1.586094580477339921e-01 5.369960911965823182e-03
1.922533474617996418e+01 1.615014816938941389e-01 5.954991061597169830e-03
1.882810718328271449e+01 1.644590969896215504e-01 6.581463163292388362e-03
1.845527869087155892e+01 1.674837679784567934e-01 7.250907716832927230e-03
1.810478517691500144e+01 1.705775373208091583e-01 7.964160721892503750e-03
1.777473160785919859e+01 1.737431339158452825e-01 8.722814319394587776e-03
1.746337942149493472e+01 1.769840833313478801e-01 9.528299896685280337e-03
1.716911894672984573e+01 1.803048779585205430e-01 1.038152336098374651e-02
1.689046535576123986e+01 1.837111107997203285e-01 1.128515685108657553e-02
1.662602909125644501e+01 1.872097594085823657e-01 1.224101117745052085e-02
1.637452997083994433e+01 1.908092412317990427e-01 1.325253384073928065e-02
1.613476272253155841e+01 1.945198345369665016e-01 1.432227030141842126e-02
1.590560676260892237e+01 1.983538291515597463e-01 1.545380838002782461e-02
1.568609792618215160e+01 2.023243093482034460e-01 1.665229639740086615e-02
1.547579096346945526e+01 2.064374249059018895e-01 1.791944928419362051e-02
1.527441163311446282e+01 2.106965372119168900e-01 1.925652946431853987e-02
1.508168834149873128e+01 2.151049449480305076e-01 2.066412088537910099e-02
1.489734859370976849e+01 2.196659893502515282e-01 2.214259643028377439e-02
1.472112129407676129e+01 2.243829966599196757e-01 2.369233335325696480e-02
1.455273816838728074e+01 2.292592833836659960e-01 2.531291146746212500e-02
1.439193321243155843e+01 2.342981685444542883e-01 2.700368321450057757e-02
1.423844629610910673e+01 2.395029356928717879e-01 2.876401035662562444e-02
1.409202045037900852e+01 2.448768552154573230e-01 3.059265596013796204e-02
1.395240206941728367e+01 2.504232091984346376e-01 3.248801461617827763e-02
1.381934789946080500e+01 2.561451521297545830e-01 3.444778428729589059e-02
