# radius mass k_2
2.662608365549090905e+01 1.390039459434260494e-01 -2.674492689606143125e-04
2.562682702485533071e+01 1.417818444833232328e-01 1.576413966673387908e-04
2.471375222797264470e+01 1.446650317938661667e-01 6.173974970947392841e-04
2.387812766420507060e+01 1.476511537420738540e-01 1.113895523658830220e-03
2.311216886344926635e+01 1.507378643492112424e-01 1.649521471056317364e-03
2.240893408839960088e+01 1.539228622426825899e-01 2.227279174400553438e-03
2.176222918802612583e+01 1.572039497227056826e-01 2.846087811306938914e-03
2.116652475868086469e+01 1.605790687659205129e-01 3.516572551013829109e-03
2.061688087524079904e+01 1.640463504718394916e-01 4.231465127185519287e-03
2.010888175466208239e+01 1.676041560628770133e-01 4.995981645510028275e-03
1.963857236716042820e+01 1.712511442765264069e-01 5.810950424328684659e-03
1.920240902588290055e+01 1.749863159957680825e-01 6.678060534908265670e-03
1.879721245160851595e+01 1.788090752464274458e-01 7.597532406950447889e-03
1.842012679270841957e+01 1.827192712904285032e-01 8.571839338371200351e-03
1.806858203382122241e+01 1.867173124252727578e-01 9.597614698850126178e-03
1.774026342293251446e+01 1.908041987650486437e-01 1.067845596479871477e-02
1.743308372216253943e+01 1.949816115872140820e-01 1.181317137023185117e-02
1.714515632148079405e+01 1.992520313059535364e-01 1.299769273318149981e-02
1.687477576786171340e+01 2.036188127289777217e-01 1.422529654853749506e-02
1.662039547961223818e+01 2.080863427885178973e-01 1.550272413978667253e-02
1.638061382264056576e+01 2.126601356877687865e-01 1.682914140018035992e-02
1.615417347224207134e+01 2.173466874213692557e-01 1.820547957587472301e-02
1.594006039335895331e+01 2.221508654785653014e-01 1.963240700231653688e-02
1.573742505894648680e+01 2.270764872953966451e-01 2.110654422086209736e-02
1.554550694420090196e+01 2.321274272662832983e-01 2.263558653823389416e-02
1.536362207609103869e+01 2.373076231961271099e-01 2.421101254992625434e-02
1.519115346485722995e+01 2.426210617180316609e-01 2.583524194878611402e-02
1.502754265167037140e+01 2.480717771142780526e-01 2.750594558672628254e-02
1.487228175227273219e+01 2.536638689913985889e-01 2.922390608643794102e-02
1.472490803111153390e+01 2.594014732678585067e-01 3.098662734608445546e-02
1.458499810359715632e+01 2.652887795177938379e-01 3.279329873313519689e-02
1.445216296985299032e+01 2.713300358241607646e-01 3.464244403279884837e-02
1.432604451300723802e+01 2.775295598785828544e-01 3.653222205738292094e-02
1.420631167289663388e+01 2.838917145176236834e-01 3.846033606980600594e-02
1.409265702323869718e+01 2.904209633791451917e-01 4.042339649566618204e-02
1.398479422217929091e+01 2.971218557357558354e-01 4.242572406044311378e-02
1.388245562771496822e+01 3.039990462083306255e-01 4.445725542389516310e-02
1.378539008735173965e+01 3.110573365089717157e-01 4.651983402393546074e-02
1.369336111263706712e+01 3.183016654177476257e-01 4.860943991069002074e-02
1.360614504253985757e+01 3.257371752241495222e-01 5.072413860974046146e-02
1.352352967020553898e+01 3.333692191482482414e-01 5.286063112330013219e-02
1.344531300041659172e+01 3.412034069382962609e-01 5.501592480898134102e-02
1.337130196209372102e+01 3.492456369338728939e-01 5.718832900933257940e-02
1.330132637887321323e+01 3.575003322321784194e-01 5.937229251988903472e-02
1.323524683149739367e+01 3.659685940580661434e-01 6.156466203192002828e-02
1.317292578695573724e+01 3.746510433751233382e-01 6.375948858246065221e-02
1.311422484477001404e+01 3.835482230323801200e-01 6.595307884626988582e-02
1.305900578130198397e+01 3.926606142731498550e-01 6.814118633445802320e-02
1.300713140790623434e+01 4.019886308243528772e-01 7.031716479077997073e-02
1.295846595419994962e+01 4.115326693988820006e-01 7.247756088324552870e-02
1.291287577178609958e+01 4.212931063112006491e-01 7.461503629291384165e-02
1.287022952504101880e+01 4.312703460287850010e-01 7.672854237054098359e-02
1.283039869723811499e+01 4.414648309913840052e-01 7.880883580498440621e-02
1.279325774196018806e+01 4.518770982962100335e-01 8.085561413765464389e-02
1.275868425346835444e+01 4.625078124820884984e-01 8.286256806672161190e-02
1.272655932985066585e+01 4.733578089444946957e-01 8.482506746631685024e-02
1.269676747608591327e+01 4.844281595745754121e-01 8.673872221433075180e-02
1.266919678871185440e+01 4.957202229488402168e-01 8.860511336596874066e-02
1.264373895687574745e+01 5.072357383767909234e-01 9.042451677774157592e-02
1.262028953753989846e+01 5.189768660656958188e-01 9.219021236388987017e-02
1.259874761279583488e+01 5.309463130772404948e-01 9.390115408745013104e-02
1.257901611042336931e+01 5.431474127533059137e-01 9.555559412331389446e-02
1.256100286732845817e+01 5.555833513364379916e-01 9.714897255728946468e-02
1.254462466537736276e+01 5.682535364340988160e-01 9.868351570001018813e-02
1.252980168053251120e+01 5.811560616622200026e-01 1.001520475695335533e-01
1.251645577141135668e+01 5.942889864123210852e-01 1.015531108480901140e-01
1.250451054175902854e+01 6.076503703917990329e-01 1.028856433586628205e-01
1.249389178543609447e+01 6.212383067182558616e-01 1.041475037294099237e-01
1.248452719251097776e+01 6.350509698171478146e-01 1.053371712382194375e-01
1.247634692049496863e+01 6.490866761560476483e-01 1.064532220214903097e-01
1.246928338499225397e+01 6.633439324676855264e-01 1.074951219081712456e-01
