# radius mass k_2
2.583664970667913963e+01 1.496046261134800770e-01 1.137227672899107948e-03
2.452330867978719908e+01 1.547996450982828953e-01 1.945221329020837935e-03
2.336700377241431781e+01 1.603624970707163422e-01 2.900455712384003917e-03
2.234652842785288129e+01 1.663078735757441973e-01 4.021403937676855216e-03
2.144423012306069154e+01 1.726499554360274025e-01 5.324786120080607539e-03
2.064530326572547736e+01 1.794020227114875854e-01 6.828781094400028506e-03
1.993724476773022047e+01 1.865759202877023126e-01 8.550662598733325612e-03
1.930942469923060756e+01 1.941813735693223852e-01 1.050556657222649105e-02
1.875274258128020932e+01 2.022251994235500228e-01 1.270513344053845681e-02
1.825935222309410833e+01 2.107103196373747156e-01 1.515827786564378360e-02
1.782244105802532275e+01 2.196345261758822776e-01 1.786847319758396238e-02
1.743613002929181022e+01 2.289869380785631847e-01 2.083323747426060052e-02
1.709518577114461380e+01 2.387492832890494299e-01 2.404127108354583292e-02
1.679476914467517901e+01 2.489008314666496247e-01 2.746982299412857598e-02
1.653044288526750449e+01 2.594188184610528580e-01 3.109323544073807136e-02
1.629816695591407694e+01 2.702787643670944706e-01 3.488964492608592760e-02
1.609428377548348976e+01 2.814547302098505122e-01 3.883193212162319718e-02
1.591549357158272748e+01 2.929197458907250584e-01 4.288865224913996493e-02
1.575882801303154146e+01 3.046462638527800970e-01 4.703116395144435469e-02
1.562162320771593471e+01 3.166066403393205109e-01 5.122559242247928801e-02
1.550149318340461591e+01 3.287736677832730492e-01 5.544376326188771992e-02
1.539630545915228943e+01 3.411211312340108881e-01 5.965288977698580269e-02
1.530415763665945406e+01 3.536243629398850841e-01 6.382618108370902155e-02
1.522335630482896818e+01 3.662608259225468843e-01 6.794063701096259011e-02
1.515239784228779385e+01 3.790106763138045287e-01 7.196945108740322727e-02
1.508995067490049102e+01 3.918573235643280084e-01 7.589822164912320146e-02
1.503483941114985889e+01 4.047879824350983924e-01 7.970873004758051439e-02
1.498603036189844318e+01 4.177942353776692985e-01 8.338966593531273175e-02
1.494261806956690464e+01 4.308725920072268845e-01 8.693138185840226795e-02
1.490381374578081086e+01 4.440250796751604723e-01 9.032922325585188150e-02
1.486893431753752992e+01 4.572598956956022143e-01 9.357909778101347609e-02
1.483739288977054294e+01 4.705921524724807070e-01 9.668178054303191993e-02
1.480869051502977740e+01 4.840447586584477047e-01 9.964031234959974670e-02
1.478240932492876958e+01 4.976495163006905975e-01 1.024581032401118696e-01
1.475820770093143963e+01 5.114480760601320952e-01 1.051420238696084558e-01
1.473583698556455879e+01 5.254790366902614140e-01 1.076977225015127437e-01
