# radius mass k_2
nan nan nan
9.667602035058965981e+00 2.156966171751207246e-300 nan
9.667602035058942889e+00 7.173029723916198171e-299 nan
9.667602035058946441e+00 2.385403911013467923e-297 0.000000000000000000e+00
9.667602035058946441e+00 7.932703526525681406e-296 0.000000000000000000e+00
9.667602035058944665e+00 2.638034797763414125e-294 0.000000000000000000e+00
9.667602035058941112e+00 8.772832075396526127e-293 0.000000000000000000e+00
9.667602035058941112e+00 2.917421054807797188e-291 0.000000000000000000e+00
9.667602035058942889e+00 9.701936088466661135e-290 0.000000000000000000e+00
9.667602035058942889e+00 3.226396262191404709e-288 0.000000000000000000e+00
9.667602035058944665e+00 1.072943868704445106e-286 0.000000000000000000e+00
9.667602035058942889e+00 3.568094095820689821e-285 0.000000000000000000e+00
9.667602035058942889e+00 1.186576096660571487e-283 0.000000000000000000e+00
9.667602035058942889e+00 3.945980109704471900e-282 0.000000000000000000e+00
9.667602035058944665e+00 1.312242768921661719e-280 0.000000000000000000e+00
9.667602035058942889e+00 4.363886884154563723e-279 0.000000000000000000e+00
9.667602035058944665e+00 1.451218416950798122e-277 0.000000000000000000e+00
9.667602035058941112e+00 4.826052896430463417e-276 0.000000000000000000e+00
9.667602035058942889e+00 1.604912553968611054e-274 0.000000000000000000e+00
9.667602035058944665e+00 5.337165508051458385e-273 0.000000000000000000e+00
9.667602035058941112e+00 1.774883970462578775e-271 0.000000000000000000e+00
9.667602035058946441e+00 5.902408504763663848e-270 0.000000000000000000e+00
9.667602035058944665e+00 1.962856543688691392e-268 0.000000000000000000e+00
9.667602035058941112e+00 6.527514671327011789e-267 0.000000000000000000e+00
9.667602035058942889e+00 2.170736721509112875e-265 0.000000000000000000e+00
9.667602035058944665e+00 7.218823934332397950e-264 0.000000000000000000e+00
9.667602035058942889e+00 2.400632857892373486e-262 0.000000000000000000e+00
9.667602035058944665e+00 7.983347662746718555e-261 0.000000000000000000e+00
9.667602035058941112e+00 2.654876596175491019e-259 0.000000000000000000e+00
9.667602035058948218e+00 8.828839778342319955e-258 0.000000000000000000e+00
9.667602035058942889e+00 2.936046516962001781e-256 0.000000000000000000e+00
9.667602035058942889e+00 9.763875397207256796e-255 0.000000000000000000e+00
9.667602035058946441e+00 3.246994290500303740e-253 0.000000000000000000e+00
9.667602035058946441e+00 1.079793779994145989e-251 0.000000000000000000e+00
9.667602035058942889e+00 3.590873598777762588e-250 0.000000000000000000e+00
9.667602035058941112e+00 1.194151461260416442e-248 0.000000000000000000e+00
