# radius mass k_2
2.731542585917345534e+01 1.363606407793883368e-01 1.531527573743813936e-03
2.625640380928298612e+01 1.391445298054017621e-01 1.806673460083019385e-03
2.529295940971393719e+01 1.420189950100912146e-01 2.119379642853680672e-03
2.441337618210646454e+01 1.449858695807568487e-01 2.472575846224297092e-03
2.360764699736139960e+01 1.480476222960600274e-01 2.869159266655671534e-03
2.286717440589472616e+01 1.512074283594801449e-01 3.311876641941027301e-03
2.218452947689766219e+01 1.544693086954123107e-01 3.803610031048377214e-03
2.155329764311579055e+01 1.578380285140484063e-01 4.347765968011013324e-03
2.096837683074493697e+01 1.613162796936154775e-01 4.946565668917282665e-03
2.042559320844718584e+01 1.649049260204974166e-01 5.602191676677236234e-03
1.992123825277279181e+01 1.686047522559577239e-01 6.316886549771976930e-03
1.945199579057934258e+01 1.724165298506147581e-01 7.091667053794890700e-03
1.901489805978079772e+01 1.763410156949166141e-01 7.928310671370068091e-03
1.860727824448818879e+01 1.803789513277469225e-01 8.827872680236792738e-03
1.822673647035261624e+01 1.845310850943197856e-01 9.790651416432155293e-03
1.787110586340519447e+01 1.887981811581755376e-01 1.081744385048331175e-02
1.753842703711274353e+01 1.931810328279424394e-01 1.190798880050095675e-02
1.722692294133879187e+01 1.976804773864682396e-01 1.306195129148217046e-02
1.693497875878851033e+01 2.022974318195032706e-01 1.427905492230792037e-02
1.666112299562224308e+01 2.070329236946073237e-01 1.555838961360664525e-02
1.640401285767716644e+01 2.118881190213280363e-01 1.689893647531531817e-02
1.616241924693868626e+01 2.168643787779095666e-01 1.829927532395450238e-02
1.593521526730197024e+01 2.219632994045717678e-01 1.975850406663117592e-02
1.572136518973062635e+01 2.271867833756505695e-01 2.127417018131121801e-02
1.551991470540042961e+01 2.325371172048010249e-01 2.284507252949999345e-02
1.532998325028609621e+01 2.380170372089304431e-01 2.446926054923413002e-02
1.515075511347766124e+01 2.436298770900326705e-01 2.614511355019272579e-02
1.498147547106684918e+01 2.493796023167765274e-01 2.787043442605617247e-02
1.482144080683480070e+01 2.552710386361248251e-01 2.964396505278772687e-02
1.466999935207407368e+01 2.613099239680319319e-01 3.146363723862882072e-02
1.452653577489057213e+01 2.675032549220984768e-01 3.332812778729042635e-02
1.439049147920185767e+01 2.738588449014610626e-01 3.523557607981173817e-02
1.426143570874369182e+01 2.803809179908734461e-01 3.718379762932859378e-02
1.413902914039988978e+01 2.870704930163076041e-01 3.916906867849237472e-02
1.402294823468163010e+01 2.939284479043524079e-01 4.118666628241710037e-02
1.391288357607184345e+01 3.009555932980870208e-01 4.323294796857326400e-02
1.380853914217856548e+01 3.081527036697499500e-01 4.530354868845382771e-02
1.370963196803652551e+01 3.155205213691456567e-01 4.739404112706337852e-02
1.361589151126752384e+01 3.230597961246705618e-01 4.949990918167400389e-02
1.352705913048612985e+01 3.307713170812872083e-01 5.161669478685882578e-02
1.344288786711006267e+01 3.386559070744902256e-01 5.373926590111854223e-02
1.336314106215040987e+01 3.467145745123650924e-01 5.586649089976365723e-02
1.328759325786975865e+01 3.549483983530449804e-01 5.799049570943380638e-02
1.321602791947567646e+01 3.633587635196846022e-01 6.010841985855085168e-02
1.314823865259042712e+01 3.719473068249476988e-01 6.221677138557310527e-02
1.308402760260003639e+01 3.807160585646336415e-01 6.430959537869790354e-02
1.302320512640553218e+01 3.896675792892411727e-01 6.638751815550750224e-02
1.296558996517691753e+01 3.988049448530127106e-01 6.844293688602363923e-02
1.291100823243254503e+01 4.081320081438267744e-01 7.047496290926719142e-02
1.285929315874756007e+01 4.176534877255109746e-01 7.247900565995285538e-02
1.281028570135146971e+01 4.273749673549612216e-01 7.445341391644953732e-02
1.276385105453356772e+01 4.372992667852909077e-01 7.639357906810645416e-02
1.271987598944346765e+01 4.474257285645211746e-01 7.829823025858791141e-02
1.267825058675399674e+01 4.577534641215779687e-01 8.015981368107528982e-02
1.263886753288544362e+01 4.682815627974993289e-01 8.197758525380063888e-02
1.260162214282735427e+01 4.790091278941246977e-01 8.374722886702250235e-02
1.256641249760592416e+01 4.899353357110400875e-01 8.546585486427067668e-02
1.253313941509217244e+01 5.010594928820565341e-01 8.713081389312164748e-02
1.250170646771979399e+01 5.123811166200663569e-01 8.873968263542997281e-02
1.247201993463995962e+01 5.239000225207027794e-01 9.028933171089077725e-02
1.244398893091343972e+01 5.356164162491701131e-01 9.177763074148007072e-02
1.241752506559078562e+01 5.475310275050411235e-01 9.320353475267091625e-02
1.239254263628758501e+01 5.596452220474693595e-01 9.456470392998410357e-02
1.236895855985728332e+01 5.719611671202886605e-01 9.586004941076989305e-02
1.234669214866115006e+01 5.844819921773284355e-01 9.708818806837163362e-02
1.232566509900469320e+01 5.972119881846169598e-01 9.824873597506747491e-02
1.230580304942010805e+01 6.101557902062504368e-01 9.933988950509410609e-02
1.228704336135586139e+01 6.233123430694935685e-01 1.003605549252760964e-01
1.226932831241374622e+01 6.366780023628019203e-01 1.013096440584221741e-01
1.225260089921346029e+01 6.502490655230054317e-01 1.021857396150968877e-01
1.223680497373029397e+01 6.640218545732483602e-01 1.029882154175477127e-01
1.222188538899342269e+01 6.779927847847514455e-01 1.037163424700262015e-01
