2017-08-18T05:33:00 i    17.24 0.06
2017-08-18T05:33:00 z    17.26 0.06
2017-08-18T05:33:00 y    17.38 0.10
2017-08-18T18:12:00 r    17.89 0.03
2017-08-18T23:56:00 g    18.49 0.04
2017-08-18T23:56:00 r    17.99 0.01
2017-08-18T23:56:00 i    17.85 0.05
2017-08-18T23:56:00 z    17.72 0.03
2017-08-18T23:56:00 J    17.58 0.07
2017-08-18T23:56:00 H    17.64 0.08
2017-08-18T23:56:00 K    18.14 0.15
2017-08-19T01:09:00 u    20.25 0.29
2017-08-19T05:33:00 i    17.89 0.06
2017-08-19T05:33:00 z    17.78 0.07
2017-08-19T05:33:00 y    17.58 0.11
2017-08-19T18:16:00 r    18.80 0.07
2017-08-19T23:15:00 g    20.19 0.11
2017-08-19T23:15:00 r    19.13 0.17
2017-08-19T23:15:00 i    18.58 0.04
2017-08-19T23:15:00 z    18.33 0.06
2017-08-19T23:15:00 J    17.73 0.09
2017-08-19T23:15:00 H    17.64 0.08
2017-08-19T23:15:00 K    17.90 0.10
2017-08-20T01:19:00 u    19.6 inf
2017-08-20T05:33:00 i    18.44 0.09
2017-08-20T05:33:00 z    18.31 0.07
2017-08-20T05:33:00 y    18.08 0.11
2017-08-20T18:38:00 r    19.52 0.13
2017-08-20T23:23:00 g    21.13 0.16
2017-08-20T23:23:00 r    19.81 0.02
2017-08-20T23:23:00 i    19.03 0.01
2017-08-20T23:23:00 z    18.74 0.02
2017-08-20T23:23:00 J    17.95 0.07
2017-08-20T23:23:00 H    17.72 0.07
2017-08-20T23:23:00 K    17.86 0.10
2017-08-21T05:39:00 i    17.8 inf
2017-08-21T05:39:00 z    18.10 0.30
2017-08-21T05:39:00 y    17.7 inf
2017-08-21T23:22:00 g    21.58 0.22
2017-08-21T23:22:00 r    20.53 0.05
2017-08-21T23:22:00 i    19.51 0.04
2017-08-21T23:22:00 z    19.07 0.06
2017-08-21T23:22:00 J    18.17 0.07
2017-08-21T23:22:00 H    18.02 0.10
2017-08-21T23:22:00 K    17.74 0.11
2017-08-22T05:39:00 z    18.8 inf
2017-08-23T05:39:00 y    18.95 0.44
2017-08-24T05:31:00 y    19.31 0.43
2017-08-24T23:35:00 g    20.5 inf
2017-08-24T23:35:00 r    20.6 inf
2017-08-24T23:35:00 i    20.5 inf
2017-08-24T23:35:00 z    19.7 inf
2017-08-24T23:35:00 J    19.26 0.28
2017-08-24T23:35:00 H    18.74 0.06
2017-08-24T23:35:00 K    18.40 0.12
2017-08-25T05:30:00 y    18.9 inf
2017-08-25T23:13:00 g    22.2 inf
2017-08-25T23:13:00 r    21.7 inf
2017-08-25T23:13:00 i    21.1 inf
2017-08-25T23:13:00 z    21.5 inf
2017-08-25T23:13:00 J    19.64 0.11
2017-08-25T23:13:00 H    19.26 0.26
2017-08-25T23:13:00 K    18.86 0.16
2017-08-25T23:34:00 g    21.0 inf
2017-08-25T23:34:00 r    21.4 inf
2017-08-25T23:34:00 i    21.1 inf
2017-08-25T23:34:00 z    20.4 inf
2017-08-26T23:15:00 J    20.23 0.10
2017-08-26T23:15:00 H    19.66 0.14
2017-08-26T23:15:00 K    19.03 0.20
2017-08-27T23:24:00 J    21.02 0.22
2017-08-28T00:22:00 J    21.2 inf
2017-08-28T00:22:00 H    20.17 0.34
2017-08-28T00:22:00 K    19.50 0.22
2017-08-28T23:03:00 H    20.05 0.20
2017-08-28T23:22:00 J    21.3 inf
2017-08-28T23:22:00 H    19.3 inf
2017-08-28T23:22:00 K    19.64 0.30
2017-08-29T22:56:00 K    19.40 0.14
2017-08-30T23:03:00 K    19.67 0.20
2017-09-02T23:12:00 K    17.9 inf
2017-09-03T23:12:00 K    20.2 inf
2017-09-04T23:12:00 K    20.76 0.35
