#    Phase      T_BB        eT         R_BB        eR         L         eL_up      eL_low  
#    (days)    (10^3 K)   (10^3 K)    (10^15 cm)  (10^15 cm) (erg/s)   (erg/s)     (erg/s) 
     0.470      9.423     -0.691      0.408     -0.034  9.735e+41  3.674e+41  2.714e+41
     0.636      7.032     -0.473      0.711     -0.163  9.506e+41  5.609e+41  3.880e+41
     0.700      8.736     -2.025      0.478     -0.129  1.369e+42  1.553e+42  6.221e+41
     0.880      9.931     -1.025      0.378     -0.051  1.074e+42  6.065e+41  3.813e+41
     1.049      6.127     -0.420      0.718     -0.148  5.615e+41  3.001e+41  2.111e+41
     1.220      5.440     -0.221      0.831     -0.054  4.369e+41  9.643e+40  7.851e+40
     1.430      5.497     -0.305      0.773     -0.089  4.025e+41  1.339e+41  1.095e+41
     2.210      3.782     -0.169      1.334     -0.099  2.646e+41  6.673e+40  5.502e+40
     2.420      3.548     -0.199      1.429     -0.189  2.394e+41  9.265e+40  6.865e+40
     2.830      3.806     -0.303      1.112     -0.260  2.012e+41  1.272e+41  8.116e+40
     3.220      3.126     -0.094      1.738     -0.091  2.075e+41  3.580e+40  2.995e+40
     3.410      3.331     -0.179      1.337     -0.209  1.648e+41  6.930e+40  5.115e+40
     4.140      2.592     -0.316      2.170     -0.471  1.724e+41  1.243e+41  7.259e+40
     4.400      2.847     -0.125      1.808     -0.243  1.588e+41  5.386e+40  4.504e+40
     5.400      2.916     -0.197      1.490     -0.309  1.223e+41  6.864e+40  4.731e+40
     6.400      2.116     -0.101      2.733     -0.283  1.093e+41  3.213e+40  2.669e+40
     7.400      2.760     -0.107      1.261     -0.144  6.762e+40  1.980e+40  1.616e+40
     8.400      3.014     -0.213      0.788     -0.157  3.906e+40  2.098e+40  1.468e+40
     9.400      3.312     -0.246      0.455     -0.104  1.920e+40  1.163e+40  7.704e+39
    10.400      5.040     -1.325      0.116     -0.064  1.161e+40  1.579e+40  4.582e+39
