#    Phase      T_BB        eT         R_BB        eR         L         eL_up      eL_low  
#   (days)    (10^3 K)   (10^3 K)    (10^15 cm)  (10^15 cm) (erg/s)   (erg/s)     (erg/s) 
     0.470      9.423     -0.691      0.408     -0.034  9.364e+41  3.672e+41  2.767e+41
     0.636      7.032     -0.473      0.711     -0.163  9.570e+41  5.650e+41  3.805e+41
     0.700      8.736     -2.025      0.478     -0.129  8.617e+41  1.524e+42  6.169e+41
     0.880      9.931     -1.025      0.378     -0.051  9.780e+41  5.678e+41  3.956e+41
     1.049      6.127     -0.420      0.718     -0.148  5.576e+41  3.174e+41  2.037e+41
     1.220      5.440     -0.221      0.831     -0.054  4.295e+41  9.508e+40  8.111e+40
     1.430      5.497     -0.305      0.773     -0.089  3.843e+41  1.350e+41  1.091e+41
     1.690      5.090     -1.365      0.821     -0.399  2.564e+41  7.769e+41  2.174e+41
     1.820      5.369     -1.625      0.640     -0.441  1.791e+41  7.772e+41  1.613e+41
     2.210      3.782     -0.169      1.334     -0.099  2.572e+41  6.571e+40  5.276e+40
     2.420      3.548     -0.199      1.429     -0.189  2.287e+41  9.202e+40  7.199e+40
     2.680      4.590     -1.365      0.774     -0.444  1.458e+41  5.574e+41  1.302e+41
     2.830      3.806     -0.303      1.112     -0.260  1.798e+41  1.284e+41  8.261e+40
     3.220      3.126     -0.094      1.738     -0.091  2.051e+41  3.552e+40  3.015e+40
     3.410      3.331     -0.179      1.337     -0.209  1.549e+41  6.841e+40  5.014e+40
     4.140      2.592     -0.316      2.170     -0.471  1.483e+41  1.219e+41  7.462e+40
     4.400      2.847     -0.125      1.808     -0.243  1.498e+41  5.464e+40  4.159e+40
     5.400      2.916     -0.197      1.490     -0.309  1.116e+41  6.617e+40  4.537e+40
     6.400      2.116     -0.101      2.733     -0.283  1.060e+41  3.272e+40  2.697e+40
     7.400      2.760     -0.107      1.261     -0.144  6.585e+40  1.990e+40  1.703e+40
     8.400      3.014     -0.213      0.788     -0.157  3.615e+40  2.115e+40  1.506e+40
     9.400      3.312     -0.246      0.455     -0.104  1.729e+40  1.172e+40  7.622e+39
    10.400      5.040     -1.325      0.116     -0.064  5.209e+39  1.599e+40  4.519e+39
    11.300      2.800     -0.477      0.569     -0.340  1.220e+40  2.823e+40  1.028e+40
    13.210      2.436     -1.580      0.572     -0.786  6.812e+39  1.020e+41  6.726e+39
    14.320      0.954     -0.768      7.129    -21.199  8.344e+40  1.825e+42  8.275e+40
